corridor,road_order,link_id,timestamp_local,date_local,time_local,minute_of_day,is_am_analysis_bin,direction,milepost,station_count,speed_mph,flow_vph,occupancy_fraction,density_veh_per_mi
I405_S,1,L405S-132,2025-09-05T05:30:00-07:00,2025-09-05,05:30,330,False,S,15.715000,3,68.400000,4000.000000,0.065833,58.393352
I405_S,2,L405S-115,2025-09-05T05:30:00-07:00,2025-09-05,05:30,330,False,S,16.290000,1,71.300000,3948.000000,0.055400,55.371669
I405_S,3,L405S-114,2025-09-05T05:30:00-07:00,2025-09-05,05:30,330,False,S,16.450000,2,68.850000,3264.000000,0.060050,47.403602
I405_S,1,L405S-132,2025-09-05T05:35:00-07:00,2025-09-05,05:35,335,False,S,15.715000,3,67.733333,4488.000000,0.075533,66.111492
I405_S,2,L405S-115,2025-09-05T05:35:00-07:00,2025-09-05,05:35,335,False,S,16.290000,1,69.900000,4596.000000,0.068100,65.751073
I405_S,3,L405S-114,2025-09-05T05:35:00-07:00,2025-09-05,05:35,335,False,S,16.450000,2,67.400000,3930.000000,0.075550,58.307679
I405_S,1,L405S-132,2025-09-05T05:40:00-07:00,2025-09-05,05:40,340,False,S,15.715000,3,68.700000,5420.000000,0.080533,78.812989
I405_S,2,L405S-115,2025-09-05T05:40:00-07:00,2025-09-05,05:40,340,False,S,16.290000,1,71.300000,5220.000000,0.069200,73.211781
I405_S,3,L405S-114,2025-09-05T05:40:00-07:00,2025-09-05,05:40,340,False,S,16.450000,2,70.550000,4374.000000,0.072050,61.981789
I405_S,1,L405S-132,2025-09-05T05:45:00-07:00,2025-09-05,05:45,345,False,S,15.715000,3,69.100000,5080.000000,0.078367,73.326996
I405_S,2,L405S-115,2025-09-05T05:45:00-07:00,2025-09-05,05:45,345,False,S,16.290000,1,71.000000,5004.000000,0.070700,70.478873
I405_S,3,L405S-114,2025-09-05T05:45:00-07:00,2025-09-05,05:45,345,False,S,16.450000,2,69.200000,4314.000000,0.076950,62.325089
I405_S,1,L405S-132,2025-09-05T05:50:00-07:00,2025-09-05,05:50,350,False,S,15.715000,3,68.133333,5804.000000,0.090367,84.973521
I405_S,2,L405S-115,2025-09-05T05:50:00-07:00,2025-09-05,05:50,350,False,S,16.290000,1,71.700000,5472.000000,0.073800,76.317992
I405_S,3,L405S-114,2025-09-05T05:50:00-07:00,2025-09-05,05:50,350,False,S,16.450000,2,70.900000,4692.000000,0.078200,66.150291
I405_S,1,L405S-132,2025-09-05T05:55:00-07:00,2025-09-05,05:55,355,False,S,15.715000,3,68.766667,4984.000000,0.077267,72.377726
I405_S,2,L405S-115,2025-09-05T05:55:00-07:00,2025-09-05,05:55,355,False,S,16.290000,1,71.500000,4884.000000,0.067000,68.307692
I405_S,3,L405S-114,2025-09-05T05:55:00-07:00,2025-09-05,05:55,355,False,S,16.450000,2,70.800000,4152.000000,0.072400,58.623700
I405_S,1,L405S-132,2025-09-05T06:00:00-07:00,2025-09-05,06:00,360,True,S,15.715000,3,67.133333,5216.000000,0.082967,77.609992
I405_S,2,L405S-115,2025-09-05T06:00:00-07:00,2025-09-05,06:00,360,True,S,16.290000,1,68.500000,5268.000000,0.076000,76.905109
I405_S,3,L405S-114,2025-09-05T06:00:00-07:00,2025-09-05,06:00,360,True,S,16.450000,2,67.100000,4326.000000,0.079050,64.472520
I405_S,1,L405S-132,2025-09-05T06:05:00-07:00,2025-09-05,06:05,365,True,S,15.715000,3,66.800000,4772.000000,0.075067,71.308503
I405_S,2,L405S-115,2025-09-05T06:05:00-07:00,2025-09-05,06:05,365,True,S,16.290000,1,67.700000,4560.000000,0.064300,67.355982
I405_S,3,L405S-114,2025-09-05T06:05:00-07:00,2025-09-05,06:05,365,True,S,16.450000,2,66.050000,3888.000000,0.070950,58.841139
I405_S,1,L405S-132,2025-09-05T06:10:00-07:00,2025-09-05,06:10,370,True,S,15.715000,3,65.900000,5840.000000,0.090700,88.512727
I405_S,2,L405S-115,2025-09-05T06:10:00-07:00,2025-09-05,06:10,370,True,S,16.290000,1,66.500000,5820.000000,0.083900,87.518797
I405_S,3,L405S-114,2025-09-05T06:10:00-07:00,2025-09-05,06:10,370,True,S,16.450000,2,65.100000,4926.000000,0.089250,75.651435
