tmc_code,days,mu_ln_x,sigma_ln_x,mean_x,sd_x
110N04158,16,-0.3993231135766853,0.3047308891698949,0.7004004284671573,0.2142791923346367
110N04157,14,-0.10528027309602805,0.22507137580367076,0.9199809122724283,0.18607285122422584
110-04156,9,-0.34181886030367137,0.33028769721397977,0.7427342406283786,0.21767906170456527
110N04156,9,-0.24749165411174065,0.23928389015537951,0.8000954588303322,0.18082684365989513
110-04154,17,0.0391377347058638,0.17375512444517066,1.0548859783710578,0.1856009318190269
110N04154,19,0.14316533317612354,0.2199465233525937,1.182647075639311,0.29517546557142266
110-04153,18,0.17106140838936218,0.22278774016067548,1.2170492133742765,0.31465658779827266
110N04152,10,0.6840798489615147,0.17382021827494007,2.007336623455166,0.31812955834478424
110N04149,7,-0.4029835205419368,0.18302737473643418,0.6777114503652353,0.11898783584896636
110-04147,14,-0.32628647020884294,0.41281542212948563,0.7824883674886698,0.34530257532507547
