tmc_code,mean_dc,own_sigma_ln_dc,planning_sigma_ln_dc_loto,observed_pti95,pti95_own_sigma,pti95_planning_sigma
110N04158,0.7004004284671573,0.3047308891698949,0.2559940889675094,3.2084000183654995,2.598157457151503,2.414872181767007
110N04157,0.9199809122724284,0.2250713758036707,0.26130472319192444,2.7390546917770253,1.7209700992350172,1.7348158041096142
110-04156,0.7427342406283786,0.3302876972139797,0.25429030176457046,2.104843509826902,1.7839280812832938,1.6075142006693919
110N04156,0.8000954588303322,0.2392838901553795,0.26035722223514374,2.0607241935854432,1.6408537282893991,1.6657488332169035
110-04154,1.0548859783710578,0.1737551244451707,0.26472580661582434,3.724712479571896,2.157821218981858,2.2751730688281597
110N04154,1.182647075639311,0.2199465233525937,0.26164638002199614,5.153016423122014,2.7733085299859064,2.8714358165673315
110-04153,1.2170492133742763,0.2227877401606754,0.2614569655681241,4.888673974174045,3.1261040743150943,3.243300606237475
110N04152,2.007336623455166,0.17382021827494,0.26472146702717303,5.089248597862849,2.5545677454499307,2.5802428682205596
110N04149,0.6777114503652353,0.1830273747364341,0.2590401389801587,2.576625533033507,1.994269478673118,2.1508698002618853
110-04147,0.7824883674886698,0.4128154221294856,0.2487884534368701,2.628847320129301,1.4940514487679029,1.431974508654572
