group,tmc_code,days,mean_dc,mu_ln_dc,sigma_ln_dc,skew_ln_dc,qq_r2_ln_dc,qq_r2_dc,shapiro_p_ln_dc
I-395 NB AM,110+04121,18,1.2400929973629018,0.20323565825799225,0.16248902771458054,-0.8468528904349425,0.921464408292592,0.9495762742936471,0.08648890670186837
I-395 NB AM,110+04123,16,1.0074617139006063,-0.01853693908200485,0.24383823094318716,-0.9609684247080379,0.9000687020750898,0.9456267170758786,0.06077891721865974
I-395 NB AM,110+04124,19,0.95633433074832,-0.06377511116834512,0.20421019353419098,-0.4783471918955721,0.9476471297580086,0.9661464085258502,0.2506871134778016
I-395 NB AM,110+04129,9,0.943828969435595,-0.08076630162310895,0.2260565845002953,0.24273942962847575,0.9769215431061509,0.9529372003081881,0.9314468452131828
I-395 NB AM,110+04130,8,1.0941229812729203,0.07862930636755214,0.16404990325821442,-0.9118264258067167,0.9137701530675352,0.940868815740717,0.40381028544364395
I-395 NB AM,110P04120,20,0.9447397790337041,-0.07954720522330697,0.2266485230577407,-1.0624506368838496,0.9179808478975254,0.9679620491471566,0.10033251748411748
I-395 NB AM,110P04121,14,1.1139058845099632,0.06697140360447326,0.3052793646714923,-0.5646739433809314,0.9159151239716762,0.9251167311181555,0.11843857984544831
I-395 NB AM,110P04122,11,0.923058549851683,-0.09873742349238004,0.20206812776764163,0.15464591313599474,0.9836581629533313,0.9624153413834532,0.9574478801591415
I-395 NB AM,110P04123,17,1.0125695699821438,-0.005162179554631565,0.19728544766462172,-0.6170409717205573,0.954597152006233,0.9778563411766606,0.5238876144646726
I-395 NB AM,110P04124,18,1.019376647202816,0.005762283535841432,0.1719807667195404,-0.7242935646207597,0.915712789876874,0.9370104637528172,0.06160180190535922
I-395 NB AM,110P04128,13,0.7642743780078673,-0.27834601854953306,0.14360114354965,0.01682660385425377,0.9764034688657498,0.969385897393719,0.9527814185335176
I-395 NB AM,110P04670,10,0.9857761179083809,-0.09682802006283861,0.4008789929810408,1.38383672414362,0.7955142985416186,0.7013928814469004,0.013627791366419319
I-395 NB PM,110+04121,18,1.1492952977364108,0.12100846137280369,0.19403055761585794,0.375785376977482,0.981994012527599,0.946935016899913,0.9361092624339895
I-395 NB PM,110+04124,9,0.5903810595588438,-0.5382531424034279,0.1578712765846471,0.48316246921731376,0.9077754266097796,0.8893658778968431,0.18191892416696842
I-395 NB PM,110+04129,16,1.1783395495806714,0.14439556964538983,0.20281033222269512,0.38047989612942773,0.9784665709110825,0.935151342878123,0.993485755235014
I-395 NB PM,110+04130,10,1.444821555596967,0.3490670780072931,0.20568762421145828,-0.06057494986383292,0.9947341720818123,0.9883594009899229,0.9928213814297236
I-395 NB PM,110P04120,19,0.806545935648473,-0.23404249310155034,0.2046036507930716,-0.6183590490199945,0.938474602221144,0.9633413111887634,0.14458028711345344
I-395 NB PM,110P04121,17,1.045863324025861,0.031134548942121407,0.17301226593436142,-0.4918296001913015,0.9465071786257164,0.9615072941987196,0.2412565474977258
I-395 NB PM,110P04123,9,0.6697769947793395,-0.4215214539309195,0.22356144732830469,-1.2218661289192645,0.8738284272057203,0.9313601872504669,0.20468256729613554
I-395 NB PM,110P04124,9,0.6400632036582807,-0.470322591731461,0.2343786832880848,-0.16137930939834091,0.9781302321533373,0.968100487750435,0.9911436503747308
I-395 NB PM,110P04128,15,1.0691095954290937,0.03905704427057581,0.2456951282281821,-0.1626876371337234,0.9828136196513634,0.9745470361095502,0.9733846957061809
I-395 SB PM,110-04122,15,0.8946474508667007,-0.12337858048907507,0.16344062569888113,-0.7207603659910722,0.9452221587687909,0.9676986812386454,0.6545723231748564
I-395 SB PM,110-04123,17,0.7023031798566056,-0.3769078374629268,0.23066439168513858,-0.8813134819601505,0.903042940044515,0.9304780286574555,0.053489521822440246
I-395 SB PM,110-04124,15,0.8181309970621572,-0.2171128601441608,0.19910755772319713,-2.231197186816985,0.7505985161429285,0.8599030251357601,0.0022163972396383657
I-395 SB PM,110-04125,17,0.8914212638221293,-0.12887475145642813,0.17283214714246048,-0.24158855255461256,0.8879389717303089,0.8700052170449819,0.12274962362889025
I-395 SB PM,110-04126,22,0.9507179334828713,-0.06923520690107358,0.2091217469014361,-1.734105251553652,0.7601470754546863,0.8302288614250756,0.00013409602363936198
I-395 SB PM,110N04120,8,0.6888780899141842,-0.40461204856100935,0.2658324607521225,0.5943458200154648,0.9231539124431746,0.8974983100182188,0.3034067585585798
I-395 SB PM,110N04123,16,0.7224093011852204,-0.34098455440880027,0.18752848051339824,-0.7701349371343101,0.9414444640143467,0.9701282642113325,0.5538243865669322
I-395 SB PM,110N04124,16,0.8484227028658202,-0.16775901456218226,0.08532772035945936,-0.33053246409978876,0.9597997294302926,0.9644452390418893,0.42099840227576646
I-395 SB PM,110N04125,15,0.8441428935282753,-0.18663816095571142,0.18227980581817652,1.9270449959080573,0.8005719703335221,0.6971251359162366,0.00639008949828836
