pair,period,facility,corridor,tmc_code,network_link_id,AMLIMIT,PMLIMIT,identification_miles,miles,s_mid
I-395 NB AM,AM,GP,I395_NB,110+04130,26501,0,0,0.080932,0.08349999999999999,-3.842260783081623
I-395 NB AM,AM,GP,I395_NB,110+04129,26825,0,0,0.135112,0.135135,-3.6116772197892675
I-395 NB AM,AM,GP,I395_NB,110P04128,26297,0,0,0.19736,0.19844,-3.45114942428017
I-395 NB AM,AM,GP,I395_NB,110P04670,26230,0,0,0.319695,0.3177900000000001,-3.2184409947753982
I-395 NB AM,AM,GP,I395_NB,110+04670,26274,0,0,0.095046,0.0825,-3.0798573712977735
I-395 NB AM,AM,GP,I395_NB,110P04127,26269,0,0,0.931818,0.9467566666666668,-2.665242092639578
I-395 NB AM,AM,GP,I395_NB,110+04127,26424,0,0,0.778625,0.7786666666666666,-1.9174311755739613
I-395 NB AM,AM,GP,I395_NB,110P04126,26778,0,0,0.391606,0.4026666666666667,-1.3747595961191261
I-395 NB AM,AM,GP,I395_NB,110+04126,26423,0,0,0.082891,0.07254333333333335,-1.1511849309187703
I-395 NB AM,AM,GP,I395_NB,110P04125,26768,0,0,0.601336,0.6006633333333333,-0.8168492434542547
I-395 NB AM,AM,GP,I395_NB,110+04125,26708,0,0,0.05299,0.05296,-0.4956296297425476
I-395 NB AM,AM,GP,I395_NB,110P04124,26756,0,0,0.704235,0.7041266666666667,-0.13276560083610678
I-395 NB AM,AM,GP,I395_NB,110+04124,27878,0,0,0.3436,0.3436683333333333,0.3680444554858542
I-395 NB AM,AM,GP,I395_NB,110P04123,28285,0,0,0.596275,0.5973341666666667,0.825064336799753
I-395 NB AM,AM,GP,I395_NB,110+04123,28025,0,0,0.924456,0.9237,1.577760647732474
I-395 NB AM,AM,GP,I395_NB,110P04122,28275,0,0,0.586105,0.5860800000000002,2.326624293983913
I-395 NB AM,AM,GP,I395_NB,110+04122,28724,0,0,1.151222,1.1513250000000002,3.1867888537767257
I-395 NB AM,AM,GP,I395_NB,110P04121,32601,0,0,0.647875,0.6479266666666668,4.078373664856315
I-395 NB AM,AM,GP,I395_NB,110+04121,29007,0,0,0.27347,0.27336416666666663,4.5312093268868345
I-395 NB AM,AM,GP,I395_NB,110P04120,32581,0,0,1.621245,1.6213333333333333,5.34741068146208
I-395 NB AM,AM,ML,I395HOV_NB,110P04301,26830,0,0,0.23002,0.22761166666666666,-3.74979240817399
I-395 NB AM,AM,ML,I395HOV_NB,110+04301,26826,0,0,0.143017,0.05525,-3.5785764555358703
I-395 NB AM,AM,ML,I395HOV_NB,110+04300,26822,0,0,0.062333,0.060666666666666674,-3.398718574539432
I-395 NB AM,AM,ML,I395HOV_NB,110P04299,26697,4,9,0.296292,0.295,-3.254930410960518
I-395 NB AM,AM,ML,I395HOV_NB,110+04299,26812,4,9,0.118904,0.11999999999999998,-3.105549968022853
I-395 NB AM,AM,ML,I395HOV_NB,110P04298,26797,4,9,1.035212,1.0343333333333333,-2.6387600883305344
I-395 NB AM,AM,ML,I395HOV_NB,110+04298,26790,4,9,0.544629,0.544,-1.957039298053194
I-395 NB AM,AM,ML,I395HOV_NB,110P04657,26786,4,9,0.56994,0.5693333333333332,-1.4387264508182223
I-395 NB AM,AM,ML,I395HOV_NB,110+04657,26774,4,9,0.073009,0.071,-1.1354677865609082
I-395 NB AM,AM,ML,I395HOV_NB,110P04656,26769,4,9,0.569671,0.57,-0.8217038230761845
I-395 NB AM,AM,ML,I395HOV_NB,110+04656,26757,4,9,0.114815,0.116,-0.48584559393382365
I-395 NB AM,AM,ML,I395HOV_NB,110P04655,28305,4,9,0.666322,0.6669999999999999,-0.11131315638799494
I-395 NB AM,AM,ML,I395HOV_NB,110P04654,28295,4,9,0.602694,0.6033333333333334,0.7813892160252596
I-395 NB AM,AM,ML,I395HOV_NB,110+04654,28280,4,9,0.956311,0.9583333333333334,1.55254493639494
I-395 NB AM,AM,ML,I395HOV_NB,110P04653,28271,4,9,0.711877,0.7116666666666666,2.3792620834733693
I-395 NB AM,AM,ML,I395HOV_NB,110+04653,32617,4,9,0.068162,0.07,2.763665876699055
I-395 NB AM,AM,ML,I395HOV_NB,110P16046,32620,4,9,0.603967,0.60294,3.09607644103195
I-395 NB AM,AM,ML,I395HOV_NB,110+16046,32609,4,9,0.366266,0.3655,3.57777488179331
I-395 NB AM,AM,ML,I395HOV_NB,110P04652,32602,4,9,0.527386,0.527,4.022008220501844
I-395 NB AM,AM,ML,I395HOV_NB,110+04652,32596,4,9,0.486134,0.48654500000000006,4.520423464972284
I-395 NB AM,AM,ML,I395HOV_NB,110P04651,32592,4,9,0.635789,0.6346666666666667,5.045588492636401
