pair,facility,tmc_code,length_mi,weekdays,mean_T_min,T95_min,TTI,PTI95,gamma95,buffer_index
I-95 SB PM,GP,110-04146,1.9346925,23,2.6653260869565214,3.4002916666666665,1.5613348883870302,1.991874103449974,1.2757507170724414,0.27575071707244136
I-95 SB PM,GP,110-04147,1.95703,23,2.7966576086956523,3.5989999999999998,1.5481175093995951,1.9922620842126417,1.286893321803006,0.2868933218030061
I-95 SB PM,GP,110-04148,2.4475500000000006,23,3.015561594202899,3.911895833333333,1.2526080995715223,1.6249286417937205,1.2972362563754436,0.2972362563754436
I-95 SB PM,GP,110-04149,0.5516000000000001,23,0.5320018115942028,0.7121458333333331,1.0609173182625509,1.4201602912738696,1.3386154291454548,0.33861542914545484
I-95 SB PM,GP,110-04150,0.6205,23,0.5983695652173913,0.6216666666666667,1.028623480362961,1.0686722177455457,1.0389343021495612,0.03893430214956117
I-95 SB PM,GP,110-04151,1.4153733333333334,23,1.7762590579710145,1.8033124999999999,1.2758919029164495,1.295324466807344,1.0152305723129642,0.015230572312964208
I-95 SB PM,GP,110-04152,0.31508499999999995,23,1.7700815217391304,1.8920833333333333,5.992309873595186,6.405326252351659,1.0689244026875862,0.06892440268758615
I-95 SB PM,GP,110-04153,1.7145100000000002,23,6.527128623188405,7.6516874999999995,4.124243083128185,4.83480885209185,1.172289982583837,0.1722899825838371
I-95 SB PM,GP,110-04154,2.6196,23,6.400398550724638,9.578749999999998,2.646879331431653,3.961283847406728,1.4965864897453165,0.4965864897453165
I-95 SB PM,GP,110-04156,0.45640000000000003,23,0.6826721014492754,0.8762083333333333,1.5705646505734863,2.015816717791411,1.2834980827152467,0.2834980827152467
I-95 SB PM,ML,110-04659,3.0458866666666666,23,2.5507246376811596,2.579875,1.0049190597649917,1.016403543139053,1.0114282670454544,0.01142826704545441
I-95 SB PM,ML,110-04661,0.9320683333333335,23,0.7716757246376811,0.7774791666666666,0.9935010518526544,1.0009727469910108,1.007520570938927,0.007520570938926996
I-95 SB PM,ML,110-04662,0.51612,23,0.4515489130434782,0.459125,1.0061250290630084,1.0230057932263814,1.0167779984353373,0.016777998435337338
I-95 SB PM,ML,110-04663,0.45,23,0.38506340579710147,0.39060416666666664,0.9983125335480408,1.0126774691358023,1.0143892169085647,0.01438921690856465
