corridor_period,tmc_code,date_local,tti,P_0.75,P_0.50,P_0.25,road_order,vf_mph
I-95 NB AM,110+04147,2025-10-01,1.0571912062850763,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-02,1.0470269571188908,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-03,1.0364255359455576,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-06,1.083421526713942,0.25,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-07,1.0492128171546298,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-08,1.0536938302278942,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-09,1.05205443520109,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-10,1.041234428024183,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-13,1.0324909878812278,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-14,1.076208188596004,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-15,1.050524333176073,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-16,1.0623279773690626,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-17,1.0419994790366915,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-20,1.0385021029795096,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-21,1.0381742239741487,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-22,1.0405786700134616,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-23,1.0370812939562792,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-24,1.04134372102597,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-27,1.054021709233255,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-28,1.0492128171546298,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-29,1.0529287792153859,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04147,2025-10-30,3.2314661838344727,2.333333333333333,2.083333333333333,1.3333333333333333,653.0,72.0
I-95 NB AM,110+04147,2025-10-31,1.035879070936623,0.0,0.0,0.0,653.0,72.0
I-95 NB AM,110+04148,2025-10-01,1.0788336242785348,0.0,0.0,0.0,655.0,71.59
I-95 NB AM,110+04148,2025-10-02,1.064659608156351,0.0,0.0,0.0,655.0,71.59
I-95 NB AM,110+04148,2025-10-03,1.0657653824637554,0.0,0.0,0.0,655.0,71.59
I-95 NB AM,110+04148,2025-10-06,1.0601359859896966,0.0,0.0,0.0,655.0,71.59
I-95 NB AM,110+04148,2025-10-07,1.2624926842446997,1.0,0.5,0.0,655.0,71.59
I-95 NB AM,110+04148,2025-10-08,1.0749131517341008,0.0,0.0,0.0,655.0,71.59
