sample,demand_basis,x_column,threshold_multiplier,observations,links,fd_h,n,r_squared,rmse_h,pearson_r,spearman_rho,n_at_boundary
all_common_support,original_link_throughput,demand_capacity_ratio,0.900000,45,3,2.658697,1.000000,-0.219343,0.968905,-0.495265,-0.526180,True
all_common_support,original_link_throughput,demand_capacity_ratio,0.950000,45,3,2.779680,1.000000,-0.249087,0.904821,-0.484717,-0.519069,True
all_common_support,original_link_throughput,demand_capacity_ratio,1.000000,45,3,2.862854,1.000000,-0.251091,0.892830,-0.459688,-0.500633,True
all_common_support,original_link_throughput,demand_capacity_ratio,1.050000,45,3,2.963107,1.000000,-0.252060,0.872516,-0.423595,-0.489246,True
all_common_support,original_link_throughput,demand_capacity_ratio,1.100000,45,3,3.038495,1.000000,-0.246433,0.861357,-0.389039,-0.422578,True
matched_complete_conservation,original_link_throughput,demand_capacity_ratio,0.900000,30,2,2.505714,1.000000,-0.210664,0.976402,-0.485753,-0.536404,True
matched_complete_conservation,upstream_mainline,upstream_dc,0.900000,30,2,2.273310,1.000000,-0.139640,0.947329,-0.260360,-0.236268,True
matched_complete_conservation,upstream_plus_on,upstream_plus_on_dc,0.900000,30,2,2.103292,1.000000,-0.101627,0.931395,-0.140012,-0.148951,True
matched_complete_conservation,upstream_plus_on_minus_off,conservation_dc,0.900000,30,2,2.362224,1.000000,-0.258350,0.995446,-0.374884,-0.468293,True
matched_complete_conservation,original_link_throughput,demand_capacity_ratio,0.950000,30,2,2.668297,1.000000,-0.260986,0.894338,-0.494847,-0.540303,True
matched_complete_conservation,upstream_mainline,upstream_dc,0.950000,30,2,2.413452,1.000000,-0.219192,0.879392,-0.359182,-0.309893,True
matched_complete_conservation,upstream_plus_on,upstream_plus_on_dc,0.950000,30,2,2.230404,1.000000,-0.187851,0.868016,-0.258285,-0.225275,True
matched_complete_conservation,upstream_plus_on_minus_off,conservation_dc,0.950000,30,2,2.515199,1.000000,-0.330350,0.918607,-0.390720,-0.461936,True
matched_complete_conservation,original_link_throughput,demand_capacity_ratio,1.000000,30,2,2.772710,1.000000,-0.261090,0.890253,-0.465322,-0.534912,True
matched_complete_conservation,upstream_mainline,upstream_dc,1.000000,30,2,2.505150,1.000000,-0.238236,0.882149,-0.374307,-0.324561,True
matched_complete_conservation,upstream_plus_on,upstream_plus_on_dc,1.000000,30,2,2.314175,1.000000,-0.212888,0.873073,-0.286225,-0.239126,True
matched_complete_conservation,upstream_plus_on_minus_off,conservation_dc,1.000000,30,2,2.614029,1.000000,-0.333485,0.915450,-0.366445,-0.425163,True
matched_complete_conservation,original_link_throughput,demand_capacity_ratio,1.050000,30,2,2.893106,1.000000,-0.270456,0.863237,-0.433095,-0.549718,True
matched_complete_conservation,upstream_mainline,upstream_dc,1.050000,30,2,2.612452,1.000000,-0.257430,0.858800,-0.365507,-0.349070,True
matched_complete_conservation,upstream_plus_on,upstream_plus_on_dc,1.050000,30,2,2.411951,1.000000,-0.241388,0.853304,-0.297321,-0.283898,True
matched_complete_conservation,upstream_plus_on_minus_off,conservation_dc,1.050000,30,2,2.729741,1.000000,-0.335530,0.885068,-0.317979,-0.366256,True
matched_complete_conservation,original_link_throughput,demand_capacity_ratio,1.100000,30,2,2.986077,1.000000,-0.267256,0.848775,-0.395680,-0.466331,True
matched_complete_conservation,upstream_mainline,upstream_dc,1.100000,30,2,2.693944,1.000000,-0.277142,0.852080,-0.373185,-0.413522,True
matched_complete_conservation,upstream_plus_on,upstream_plus_on_dc,1.100000,30,2,2.486105,1.000000,-0.271082,0.850055,-0.322386,-0.358923,True
matched_complete_conservation,upstream_plus_on_minus_off,conservation_dc,1.100000,30,2,2.818563,1.000000,-0.328479,0.869036,-0.277514,-0.264046,True
