link_id,date_local,capacity_vph_link,complete_upstream,complete_on_ramp,complete_off_ramp,complete_conservation,upstream_D60_vph,upstream_plus_on_D60_vph,conservation_D60_vph,upstream_dc,upstream_plus_on_dc,conservation_dc,original_link_dc
L405S-114,2025-09-05,6600.3,True,True,True,True,7079.0,7839.0,6350.0,1.0725270063481962,1.1876732875778373,0.9620774813266063,0.953593
L405S-114,2025-09-08,6600.3,True,True,True,True,6411.0,7173.0,5352.0,0.9713194854779328,1.0867687832371256,0.8108722330803145,0.926928
L405S-114,2025-09-09,6600.3,True,True,True,True,6464.0,7266.0,5652.0,0.9793494235110525,1.100859051861279,0.8563247125130675,0.859128
L405S-114,2025-09-10,6600.3,True,True,True,True,7111.0,7926.0,6213.0,1.0773752708210234,1.2008545066133358,0.9413208490523158,0.937836
L405S-114,2025-09-11,6600.3,True,True,True,True,6966.0,7721.0,6345.0,1.055406572428526,1.169795312334288,0.9613199400027271,0.903898
L405S-114,2025-09-12,6600.3,True,True,True,True,6982.0,7750.0,6177.0,1.0578307046649393,1.1741890520127873,0.9358665515203854,0.930109
L405S-114,2025-09-15,6600.3,True,True,True,True,7106.0,7869.0,6293.0,1.076617729497144,1.1922185355211126,0.9534415102343833,0.977834
L405S-114,2025-09-16,6600.3,True,True,True,True,7016.0,7790.0,6180.0,1.0629819856673182,1.180249382603821,0.936321076314713,0.93117
L405S-114,2025-09-17,6600.3,True,True,True,True,6602.0,7374.0,5797.0,1.000257564050119,1.1172219444570701,0.8782934109055649,0.825872
L405S-114,2025-09-18,6600.3,True,True,True,True,7018.0,7806.0,6196.0,1.0632850021968698,1.1826735148402345,0.9387452085511264,0.950033
L405S-114,2025-09-19,6600.3,True,True,True,True,6959.0,7688.0,6183.0,1.0543460145750951,1.164795539596685,0.9367756011090405,0.929579
L405S-114,2025-09-22,6600.3,True,True,True,True,7264.0,8008.0,6500.0,1.1005560353317274,1.213278184324955,0.9848037210429829,1.020484
L405S-114,2025-09-23,6600.3,True,True,True,True,6869.0,7607.0,6064.0,1.0407102707452691,1.1525233701498416,0.9187461176007151,0.91458
L405S-114,2025-09-24,6600.3,True,True,True,True,6432.0,7227.0,5667.0,0.9745011590382255,1.094950229535021,0.8585973364847053,0.890717
L405S-114,2025-09-25,6600.3,True,True,True,True,5806.0,6383.0,4917.0,0.8796569852885474,0.9670772540642092,0.7449661379028226,0.754814
L405S-115,2025-09-05,7668.6,False,True,False,False,,,,,,,0.923115
L405S-115,2025-09-08,7668.6,False,True,False,False,,,,,,,0.836007
L405S-115,2025-09-09,7668.6,False,True,False,False,,,,,,,0.842918
L405S-115,2025-09-10,7668.6,False,True,False,False,,,,,,,0.927288
L405S-115,2025-09-11,7668.6,False,True,False,False,,,,,,,0.90838
