segment_id,segment_index,date_local,threshold_multiplier,threshold_speed_kmh,episode_identified,duration_bins,duration_h,episode_start_local,episode_end_local
I5N-S68,68,2025-07-07,0.9,64.206,True,20,1.6666666666666665,2025-07-07T16:20:00,2025-07-07T18:00:00
I5N-S68,68,2025-07-08,0.9,64.206,True,45,3.75,2025-07-08T15:00:00,2025-07-08T18:45:00
I5N-S68,68,2025-07-09,0.9,64.206,True,31,2.583333333333333,2025-07-09T16:15:00,2025-07-09T18:50:00
I5N-S68,68,2025-07-10,0.9,64.206,True,29,2.4166666666666665,2025-07-10T15:50:00,2025-07-10T18:15:00
I5N-S68,68,2025-07-11,0.9,64.206,True,25,2.083333333333333,2025-07-11T15:25:00,2025-07-11T17:30:00
I5N-S68,68,2025-07-14,0.9,64.206,True,27,2.25,2025-07-14T16:25:00,2025-07-14T18:40:00
I5N-S68,68,2025-07-15,0.9,64.206,True,45,3.75,2025-07-15T15:15:00,2025-07-15T19:00:00
I5N-S68,68,2025-07-16,0.9,64.206,True,45,3.75,2025-07-16T15:15:00,2025-07-16T19:00:00
I5N-S68,68,2025-07-17,0.9,64.206,True,35,2.9166666666666665,2025-07-17T16:05:00,2025-07-17T19:00:00
I5N-S68,68,2025-07-18,0.9,64.206,True,35,2.9166666666666665,2025-07-18T15:40:00,2025-07-18T18:35:00
I5N-S68,68,2025-07-21,0.9,64.206,True,25,2.083333333333333,2025-07-21T16:25:00,2025-07-21T18:30:00
I5N-S68,68,2025-07-22,0.9,64.206,True,41,3.4166666666666665,2025-07-22T15:25:00,2025-07-22T18:50:00
I5N-S68,68,2025-07-23,0.9,64.206,True,42,3.5,2025-07-23T15:20:00,2025-07-23T18:50:00
I5N-S68,68,2025-07-24,0.9,64.206,True,36,3.0,2025-07-24T15:45:00,2025-07-24T18:45:00
I5N-S68,68,2025-07-25,0.9,64.206,True,28,2.333333333333333,2025-07-25T15:45:00,2025-07-25T18:05:00
I5N-S69,69,2025-07-07,0.9,64.584,True,14,1.1666666666666665,2025-07-07T16:45:00,2025-07-07T17:55:00
