demand_basis,x_column,threshold_multiplier,observations,segments,fd_h,n,r_squared,rmse_h,pearson_r,spearman_rho,n_at_boundary
downstream_throughput,downstream_dc,0.9,45,3,3.5090890684329574,1.0,-0.4061375254287003,0.7866855206586618,-0.7376893923537442,-0.7710396277084,True
upstream_mainline,upstream_dc,0.9,45,3,3.6582161436874436,1.0,-0.6925960181183692,0.8631055615876049,-0.33976313418583953,-0.3325859171394134,True
upstream_plus_on_minus_off,net_arrival_dc,0.9,45,3,3.8812341412318343,1.0,-1.1757429387017884,0.9785680882126359,-0.5043655449614596,-0.5100002742084238,True
downstream_plus_storage,storage_implied_arrival_dc,0.9,45,3,3.5151467790238016,1.0,-0.4176683009387716,0.7899044709273098,-0.7470102196619173,-0.7693235662188932,True
downstream_throughput,downstream_dc,0.95,45,3,3.6863352354593473,1.0,-0.41033502100705355,0.7857565344422174,-0.6968693325213321,-0.7384682455687658,True
upstream_mainline,upstream_dc,0.95,45,3,3.8389873495127977,1.0,-0.7712564500845258,0.8805774881250139,-0.3612241858742426,-0.35542912606489524,True
upstream_plus_on_minus_off,net_arrival_dc,0.95,45,3,4.066713677411637,1.0,-1.3684295930621757,1.0182562762261207,-0.5774509560374091,-0.6102601181404138,True
downstream_plus_storage,storage_implied_arrival_dc,0.95,45,3,3.692457027166782,1.0,-0.4258770077525942,0.7900742166647117,-0.713354830688388,-0.7504898216594201,True
downstream_throughput,downstream_dc,1.0,45,3,3.793244162969673,1.0,-0.4479664688104663,0.7360137460611569,-0.6674958067729625,-0.7214114095538511,True
upstream_mainline,upstream_dc,1.0,45,3,3.950631165454897,1.0,-0.8911656232444827,0.8411461383965019,-0.3534377269382879,-0.3637091103158312,True
upstream_plus_on_minus_off,net_arrival_dc,1.0,45,3,4.191648763825637,1.0,-1.5519900425098951,0.9771160809881106,-0.553782796924221,-0.5809444428111851,True
downstream_plus_storage,storage_implied_arrival_dc,1.0,45,3,3.7992672733924455,1.0,-0.47100214486203984,0.7418452598391949,-0.6942211004147428,-0.7353392901848202,True
downstream_throughput,downstream_dc,1.05,45,3,3.8602509520541934,1.0,-0.4618575071670519,0.7151079730748979,-0.644078662018903,-0.7094565191587756,True
upstream_mainline,upstream_dc,1.05,45,3,4.025331263915973,1.0,-0.8834885463868463,0.8117094289585031,-0.2964898051107863,-0.33216755548284976,True
upstream_plus_on_minus_off,net_arrival_dc,1.05,45,3,4.273155128727442,1.0,-1.5880767741856672,0.9514975551667393,-0.5052220091758441,-0.5463456014007891,True
downstream_plus_storage,storage_implied_arrival_dc,1.05,45,3,3.866231619895171,1.0,-0.4895881018493651,0.7218587022394252,-0.6768437168135792,-0.73277695413997,True
downstream_throughput,downstream_dc,1.1,45,3,3.9005556921591467,1.0,-0.4793346194098902,0.7124181484143521,-0.6547080983702421,-0.713785932065322,True
upstream_mainline,upstream_dc,1.1,45,3,4.068311439114385,1.0,-0.9044246733900458,0.8083206312366595,-0.29152542280388194,-0.32084651190223107,True
upstream_plus_on_minus_off,net_arrival_dc,1.1,45,3,4.3205400244221925,1.0,-1.6147675302831699,0.9471490011880247,-0.492965032349965,-0.5344796253724858,True
downstream_plus_storage,storage_implied_arrival_dc,1.1,45,3,3.906719882120707,1.0,-0.5063451917281288,0.7188926058475495,-0.6850918894520522,-0.7375964338762483,True
