segment_id,segment_index,date_local,valid_joint_cells,joint_coverage,capacity_vph_link,capacity_speed_kmh,downstream_D60_vph,downstream_dc,upstream_D60_vph,upstream_dc,net_arrival_D60_vph,net_arrival_dc,storage_implied_arrival_D60_vph,storage_implied_arrival_dc
I5N-S68,68,2025-07-07,48,1.0,8112.0,71.34,6916.0,0.8525641025641025,5574.0,0.6871301775147929,5949.0,0.7333579881656804,6912.360730774973,0.8521154747010568
I5N-S68,68,2025-07-08,48,1.0,8112.0,71.34,6021.0,0.7422337278106509,5231.0,0.6448471400394478,5500.0,0.678007889546351,5883.881388557511,0.7253305459267149
I5N-S68,68,2025-07-09,48,1.0,8112.0,71.34,6762.0,0.8335798816568047,5462.0,0.6733234714003945,5796.0,0.7144970414201184,6780.360421244106,0.8358432471947862
I5N-S68,68,2025-07-10,48,1.0,8112.0,71.34,6700.0,0.8259368836291914,5492.0,0.6770216962524654,5763.0,0.7104289940828402,6740.133813033094,0.8308843457881033
I5N-S68,68,2025-07-11,48,1.0,8112.0,71.34,6860.0,0.8456607495069034,5466.0,0.6738165680473372,5706.0,0.7034023668639053,6778.242512557116,0.8355821637767649
I5N-S68,68,2025-07-14,48,1.0,8112.0,71.34,6881.0,0.8482495069033531,5423.0,0.6685157790927022,5730.0,0.7063609467455622,6915.4542456236595,0.8524968251508456
I5N-S68,68,2025-07-15,48,1.0,8112.0,71.34,6068.0,0.7480276134122288,5474.0,0.6748027613412229,5736.0,0.7071005917159763,6091.127106213753,0.7508785880441017
I5N-S68,68,2025-07-16,48,1.0,8112.0,71.34,5650.0,0.6964990138067061,5218.0,0.6432445759368837,5456.0,0.6725838264299803,5694.20230711471,0.7019480161630559
I5N-S68,68,2025-07-17,48,1.0,8112.0,71.34,6703.0,0.8263067061143984,5564.0,0.6858974358974359,5831.0,0.7188116370808678,6731.999237203402,0.8298815627716225
I5N-S68,68,2025-07-18,48,1.0,8112.0,71.34,6695.0,0.8253205128205128,5593.0,0.6894723865877712,5853.0,0.7215236686390533,6608.310000812628,0.8146338758398209
I5N-S68,68,2025-07-21,48,1.0,8112.0,71.34,6906.0,0.8513313609467456,5541.0,0.6830621301775148,5830.0,0.7186883629191322,6912.84105516587,0.8521746862877059
I5N-S68,68,2025-07-22,48,1.0,8112.0,71.34,6589.0,0.8122534516765286,5403.0,0.6660502958579881,5670.0,0.6989644970414202,6627.257486852286,0.8169696112983588
I5N-S68,68,2025-07-23,48,1.0,8112.0,71.34,6251.0,0.7705867850098619,5381.0,0.6633382642998028,5653.0,0.6968688362919132,6280.897679390847,0.7742723963746113
I5N-S68,68,2025-07-24,48,1.0,8112.0,71.34,6574.0,0.810404339250493,5892.0,0.7263313609467456,6186.0,0.7625739644970414,6614.677094850035,0.8154187740199748
I5N-S68,68,2025-07-25,48,1.0,8112.0,71.34,6866.0,0.8464003944773175,5422.0,0.6683925049309665,5778.0,0.7122781065088757,6749.064581040305,0.8319852787278482
I5N-S69,69,2025-07-07,48,1.0,7308.0,71.76,6263.0,0.8570060207991242,6916.0,0.946360153256705,6676.0,0.9135194307608101,6263.003240421925,0.8570064642066125
I5N-S69,69,2025-07-08,48,1.0,7308.0,71.76,5624.0,0.7695675971538041,6021.0,0.8238916256157636,5344.0,0.7312534209085934,5524.727822902736,0.75598355540541
I5N-S69,69,2025-07-09,48,1.0,7308.0,71.76,6197.0,0.8479748221127531,6762.0,0.9252873563218391,6585.0,0.9010673234811166,6200.754614736047,0.8484885898653595
I5N-S69,69,2025-07-10,48,1.0,7308.0,71.76,6215.0,0.8504378762999453,6700.0,0.9168035030103996,6482.0,0.8869731800766284,6223.90448433156,0.8516563333787027
