control_volume_id,date_local,threshold_multiplier,episode_identified,duration_bins,duration_h
I5N-CV39-43,2025-07-07,0.9,False,0,0.0
I5N-CV39-43,2025-07-07,0.95,False,0,0.0
I5N-CV39-43,2025-07-07,1.0,False,0,0.0
I5N-CV39-43,2025-07-07,1.05,False,0,0.0
I5N-CV39-43,2025-07-07,1.1,False,0,0.0
I5N-CV39-44,2025-07-07,0.9,True,3,0.25
I5N-CV39-44,2025-07-07,0.95,True,8,0.6666666666666666
I5N-CV39-44,2025-07-07,1.0,True,8,0.6666666666666666
I5N-CV39-44,2025-07-07,1.05,True,9,0.75
I5N-CV39-44,2025-07-07,1.1,True,10,0.8333333333333334
I5N-CV39-45,2025-07-07,0.9,True,10,0.8333333333333334
I5N-CV39-45,2025-07-07,0.95,True,10,0.8333333333333334
I5N-CV39-45,2025-07-07,1.0,True,11,0.9166666666666666
I5N-CV39-45,2025-07-07,1.05,True,11,0.9166666666666666
I5N-CV39-45,2025-07-07,1.1,True,11,0.9166666666666666
I5N-CV39-43,2025-07-08,0.9,True,5,0.4166666666666667
I5N-CV39-43,2025-07-08,0.95,True,5,0.4166666666666667
I5N-CV39-43,2025-07-08,1.0,True,5,0.4166666666666667
I5N-CV39-43,2025-07-08,1.05,True,6,0.5
I5N-CV39-43,2025-07-08,1.1,True,6,0.5
I5N-CV39-44,2025-07-08,0.9,True,6,0.5
I5N-CV39-44,2025-07-08,0.95,True,6,0.5
I5N-CV39-44,2025-07-08,1.0,True,7,0.5833333333333334
I5N-CV39-44,2025-07-08,1.05,True,7,0.5833333333333334
I5N-CV39-44,2025-07-08,1.1,True,7,0.5833333333333334
I5N-CV39-45,2025-07-08,0.9,True,7,0.5833333333333334
I5N-CV39-45,2025-07-08,0.95,True,11,0.9166666666666666
I5N-CV39-45,2025-07-08,1.0,True,12,1.0
I5N-CV39-45,2025-07-08,1.05,True,12,1.0
I5N-CV39-45,2025-07-08,1.1,True,12,1.0
I5N-CV39-43,2025-07-09,0.9,False,0,0.0
I5N-CV39-43,2025-07-09,0.95,True,5,0.4166666666666667
I5N-CV39-43,2025-07-09,1.0,True,5,0.4166666666666667
I5N-CV39-43,2025-07-09,1.05,True,5,0.4166666666666667
I5N-CV39-43,2025-07-09,1.1,True,5,0.4166666666666667
I5N-CV39-44,2025-07-09,0.9,True,7,0.5833333333333334
I5N-CV39-44,2025-07-09,0.95,True,7,0.5833333333333334
I5N-CV39-44,2025-07-09,1.0,True,8,0.6666666666666666
I5N-CV39-44,2025-07-09,1.05,True,8,0.6666666666666666
I5N-CV39-44,2025-07-09,1.1,True,9,0.75
I5N-CV39-45,2025-07-09,0.9,True,8,0.6666666666666666
I5N-CV39-45,2025-07-09,0.95,True,8,0.6666666666666666
I5N-CV39-45,2025-07-09,1.0,True,9,0.75
I5N-CV39-45,2025-07-09,1.05,True,9,0.75
I5N-CV39-45,2025-07-09,1.1,True,9,0.75
I5N-CV39-43,2025-07-10,0.9,True,17,1.4166666666666667
I5N-CV39-43,2025-07-10,0.95,True,18,1.5
I5N-CV39-43,2025-07-10,1.0,True,20,1.6666666666666667
I5N-CV39-43,2025-07-10,1.05,True,20,1.6666666666666667
I5N-CV39-43,2025-07-10,1.1,True,21,1.75
I5N-CV39-44,2025-07-10,0.9,True,22,1.8333333333333333
I5N-CV39-44,2025-07-10,0.95,True,22,1.8333333333333333
I5N-CV39-44,2025-07-10,1.0,True,31,2.5833333333333335
I5N-CV39-44,2025-07-10,1.05,True,31,2.5833333333333335
I5N-CV39-44,2025-07-10,1.1,True,32,2.6666666666666665
I5N-CV39-45,2025-07-10,0.9,True,34,2.8333333333333335
I5N-CV39-45,2025-07-10,0.95,True,35,2.9166666666666665
I5N-CV39-45,2025-07-10,1.0,True,35,2.9166666666666665
I5N-CV39-45,2025-07-10,1.05,True,35,2.9166666666666665
I5N-CV39-45,2025-07-10,1.1,True,36,3.0
I5N-CV39-43,2025-07-11,0.9,True,3,0.25
I5N-CV39-43,2025-07-11,0.95,True,3,0.25
I5N-CV39-43,2025-07-11,1.0,True,7,0.5833333333333334
