demand_basis,threshold_multiplier,observations,fd_h,n,r_squared,rmse_h,spearman_rho,n_at_boundary
downstream_throughput,0.9,38,1.4640700510286273,1.0,-0.08281653533926447,0.9969136470912935,-0.3877869166565732,True
remote_upstream_plus_on_minus_off,0.9,38,1.1289378618766792,1.0,-0.07143148121824772,0.9916588751930092,-0.21168813792422736,True
downstream_throughput,0.95,38,1.6322405035497938,1.0,-0.08932048878904819,0.9992427909991625,-0.3554997751209847,True
remote_upstream_plus_on_minus_off,0.95,38,1.2556636473623113,1.0,-0.08482896984066013,0.997180609150854,-0.22292833940029183,True
downstream_throughput,1.0,38,1.811024631576128,1.0,-0.10293362357441715,1.0037749506080782,-0.411400843703584,True
remote_upstream_plus_on_minus_off,1.0,38,1.4001155778652608,1.0,-0.07209312194350948,0.9896415484939621,-0.11268689120904961,True
downstream_throughput,1.05,38,1.9103604051627772,1.0,-0.11072588913318304,0.994742514561618,-0.42023130103902256,True
remote_upstream_plus_on_minus_off,1.05,38,1.4773017825044121,1.0,-0.0739933533446866,0.9781557883499075,-0.08203727972742074,True
downstream_throughput,1.1,38,2.02956891116889,1.0,-0.11157181427566232,1.069266503839815,-0.41031546307151423,True
remote_upstream_plus_on_minus_off,1.1,38,1.5662729429687552,1.0,-0.08738269440161273,1.0575682587770816,-0.10917057240950734,True
