control_volume_id,date_local,valid_cells,coverage,upstream_episode,downstream_D60_vph,downstream_dc,remote_arrival_D60_vph,remote_arrival_dc
I5N-CV39-43,2025-07-07,48,1.0,False,6449.0,0.8956944444444445,9501.0,1.3195833333333333
I5N-CV39-44,2025-07-07,48,1.0,False,8316.0,0.8805590851334181,9501.0,1.0060355781448538
I5N-CV39-45,2025-07-07,48,1.0,False,7677.0,0.9218299711815562,9501.0,1.140850144092219
I5N-CV39-43,2025-07-08,48,1.0,False,6288.0,0.8733333333333333,9219.0,1.2804166666666668
I5N-CV39-44,2025-07-08,48,1.0,False,8308.0,0.879711986446421,9219.0,0.9761753494282084
I5N-CV39-45,2025-07-08,48,1.0,False,7532.0,0.904418828049952,9219.0,1.1069884726224783
I5N-CV39-43,2025-07-09,48,1.0,False,5966.0,0.8286111111111111,9034.0,1.2547222222222223
I5N-CV39-44,2025-07-09,48,1.0,False,8180.0,0.8661584074544685,9034.0,0.956586192291402
I5N-CV39-45,2025-07-09,48,1.0,False,7146.0,0.8580691642651297,9034.0,1.0847742555235351
I5N-CV39-43,2025-07-10,48,1.0,False,5857.0,0.8134722222222223,9069.0,1.2595833333333333
I5N-CV39-44,2025-07-10,48,1.0,False,7671.0,0.8122617534942821,9069.0,0.9602922490470139
I5N-CV39-45,2025-07-10,48,1.0,False,6705.0,0.8051152737752162,9069.0,1.0889769452449567
I5N-CV39-43,2025-07-11,48,1.0,False,5821.0,0.8084722222222223,9145.0,1.270138888888889
I5N-CV39-44,2025-07-11,48,1.0,False,7583.0,0.8029436679373146,9145.0,0.9683396865734858
I5N-CV39-45,2025-07-11,48,1.0,False,6769.0,0.8128001921229587,9145.0,1.098102785782901
I5N-CV39-43,2025-07-14,48,1.0,False,6275.0,0.8715277777777778,9256.0,1.2855555555555556
I5N-CV39-44,2025-07-14,48,1.0,False,8187.0,0.8668996188055909,9256.0,0.9800931808555696
I5N-CV39-45,2025-07-14,48,1.0,False,7427.0,0.8918107588856868,9256.0,1.111431316042267
I5N-CV39-43,2025-07-15,48,1.0,False,6172.0,0.8572222222222222,9084.0,1.2616666666666667
I5N-CV39-44,2025-07-15,48,1.0,False,8534.0,0.9036425243540872,9084.0,0.9618805590851334
I5N-CV39-45,2025-07-15,48,1.0,False,7538.0,0.9051392891450528,9084.0,1.0907780979827089
I5N-CV39-43,2025-07-16,48,1.0,False,6298.0,0.8747222222222222,9008.0,1.251111111111111
I5N-CV39-44,2025-07-16,48,1.0,False,8704.0,0.9216433714527742,9008.0,0.9538331215586616
I5N-CV39-45,2025-07-16,48,1.0,False,7795.0,0.9359990393852066,9008.0,1.0816522574447647
I5N-CV39-43,2025-07-17,48,1.0,False,5651.0,0.7848611111111111,9078.0,1.2608333333333333
I5N-CV39-44,2025-07-17,48,1.0,False,7680.0,0.8132147395171537,9078.0,0.9612452350698857
I5N-CV39-45,2025-07-17,48,1.0,False,6769.0,0.8128001921229587,9078.0,1.090057636887608
I5N-CV39-43,2025-07-18,45,0.9375,False,5915.0,0.8215277777777777,9427.0,1.3093055555555555
I5N-CV39-44,2025-07-18,45,0.9375,False,7436.0,0.7873782295637441,9427.0,0.9981999152901313
I5N-CV39-45,2025-07-18,46,0.9583333333333334,False,6872.0,0.8251681075888568,9427.0,1.1319644572526417
I5N-CV39-43,2025-07-21,48,1.0,False,6059.0,0.8415277777777778,9032.0,1.2544444444444445
I5N-CV39-44,2025-07-21,48,1.0,False,8203.0,0.868593816179585,9032.0,0.9563744176196527
I5N-CV39-45,2025-07-21,48,1.0,False,7333.0,0.88052353506244,9032.0,1.0845341018251682
I5N-CV39-43,2025-07-22,39,0.8125,False,5699.0,0.7915277777777778,8868.0,1.2316666666666667
I5N-CV39-44,2025-07-22,40,0.8333333333333334,False,7544.0,0.7988140618382041,9093.0,0.9628335451080051
I5N-CV39-45,2025-07-22,40,0.8333333333333334,False,6402.0,0.7687319884726225,9093.0,1.0918587896253602
I5N-CV39-43,2025-07-23,48,1.0,False,6077.0,0.8440277777777778,9107.0,1.2648611111111112
I5N-CV39-44,2025-07-23,48,1.0,False,8276.0,0.8763235916984329,9107.0,0.9643159678102499
I5N-CV39-45,2025-07-23,48,1.0,False,7132.0,0.856388088376561,9107.0,1.093539865513929
I5N-CV39-43,2025-07-24,48,1.0,True,5414.0,0.7519444444444444,8698.0,1.2080555555555557
I5N-CV39-44,2025-07-24,48,1.0,True,7157.0,0.7578356628547226,8698.0,0.9210080474375265
I5N-CV39-45,2025-07-24,48,1.0,True,6411.0,0.7698126801152738,8698.0,1.0444284341978867
I5N-CV39-43,2025-07-25,48,1.0,False,5841.0,0.81125,9411.0,1.3070833333333334
I5N-CV39-44,2025-07-25,48,1.0,False,7457.0,0.7896018636171114,9411.0,0.9965057179161372
I5N-CV39-45,2025-07-25,48,1.0,False,6848.0,0.8222862632084534,9411.0,1.130043227665706
