date_local,excluded_holiday
2025-06-02,False
2025-06-03,False
2025-06-04,False
2025-06-05,False
2025-06-06,False
2025-06-09,False
2025-06-10,False
2025-06-11,False
2025-06-12,False
2025-06-13,False
2025-06-16,False
2025-06-17,False
2025-06-18,False
2025-06-20,False
2025-06-23,False
2025-06-24,False
2025-06-25,False
2025-06-26,False
2025-06-27,False
2025-06-30,False
2025-07-01,False
2025-07-02,False
2025-07-03,False
2025-07-07,False
2025-07-08,False
2025-07-09,False
2025-07-10,False
2025-07-11,False
2025-07-14,False
2025-07-15,False
2025-07-16,False
2025-07-17,False
2025-07-18,False
2025-07-21,False
2025-07-22,False
2025-07-23,False
2025-07-24,False
2025-07-25,False
2025-07-28,False
2025-07-29,False
2025-07-30,False
2025-07-31,False
2025-08-01,False
2025-08-04,False
2025-08-05,False
2025-08-06,False
2025-08-07,False
2025-08-08,False
2025-08-11,False
2025-08-12,False
2025-08-13,False
2025-08-14,False
2025-08-15,False
2025-08-18,False
2025-08-19,False
2025-08-20,False
2025-08-21,False
2025-08-22,False
2025-08-25,False
2025-08-26,False
2025-08-27,False
2025-08-28,False
2025-08-29,False
2025-09-02,False
2025-09-03,False
2025-09-04,False
2025-09-05,False
2025-09-08,False
2025-09-09,False
2025-09-10,False
2025-09-11,False
2025-09-12,False
2025-09-15,False
2025-09-16,False
2025-09-17,False
2025-09-18,False
2025-09-19,False
2025-09-22,False
2025-09-23,False
2025-09-24,False
2025-09-25,False
2025-09-26,False
2025-09-29,False
2025-09-30,False
2025-10-01,False
2025-10-02,False
2025-10-03,False
2025-10-06,False
2025-10-07,False
2025-10-08,False
2025-10-09,False
2025-10-10,False
2025-10-14,False
2025-10-15,False
2025-10-16,False
2025-10-17,False
2025-10-20,False
2025-10-21,False
2025-10-22,False
2025-10-23,False
