station_id,link_id,station_name,milepost,direction,lanes,C_vph_link,detector_days,mean_dc,median_dc,min_dc,max_dc,mu_ln_dc,sigma_ln_dc,skew_ln_dc,excess_kurtosis_ln_dc,normal_qq_r2,lognormal_mean_dc,lognormal_p95_dc
1222412,L405S-041,FAIRVIEW,10.05,S,5,9360.0,99,0.556242985409652,0.5580128205128205,0.5011752136752137,0.6490384615384616,-0.5876537343555117,0.04716531058099641,0.15447775198611283,0.09756794554246895,0.976414254932041,0.5562477718935098,0.6004513226098962
1223081,L405S-110,Almond,20.664,S,6,11232.0,99,0.6819521784799562,0.6858974358974359,0.5951745014245015,0.7183938746438746,-0.38327792339282296,0.03139024281851743,-1.1238331597614069,2.8220838157489805,0.9321494539738855,0.6819593345194697,0.7177416679319772
1222728,L405S-108,Bushard,14.286,S,5,9360.0,98,0.7260978109192395,0.7264423076923077,0.6585470085470085,0.8269230769230769,-0.3212744024213661,0.049301927307743215,0.05657383017820764,-0.725679328670294,0.9730328136727678,0.7261061502329654,0.7864863213190335
1223027,L405S-001,N405 - S605 Conn,23.39,S,5,9360.0,99,0.781993006993007,0.7929487179487179,0.661965811965812,0.846474358974359,-0.2471438479838915,0.050370966914069594,-1.045182427111269,0.666989787241989,0.9120449112189926,0.7820197907989952,0.8484950905470656
1222909,L405S-024,Springdale & GGrove,19.957,S,5,9360.0,99,0.8734470776137442,0.8773504273504273,0.7742521367521368,0.9125,-0.13572333653573546,0.02915500008260553,-1.297380992918184,3.0271853114720404,0.9133916214358049,0.8734552953154732,0.9159736978057849
1201589,L405S-005,EUCLID,12.27,S,6,11232.0,98,0.8746711291354149,0.8728632478632479,0.8039529914529915,0.9202279202279202,-0.13447499959887796,0.033956572113136324,-0.4629748882021287,-0.49540316144616403,0.9650737357763217,0.8746788616886677,0.9243898240594428
1222749,L405S-132,Heil,15.389,S,5,9360.0,99,0.8787501079167745,0.8788461538461538,0.7507478632478632,0.9460470085470084,-0.12977313044660038,0.03256655435421372,-1.203640869693349,4.844852926498936,0.9217569301341302,0.8787605412335571,0.9266253804773935
1201719,L405S-108,MAGNOLIA 1,14.93,S,4,7488.0,99,0.8926160644910646,0.8920940170940171,0.749465811965812,0.9696848290598292,-0.11431143169801501,0.03818362455237025,-1.025963697581204,3.8407324791376354,0.9323021161867161,0.8926306074939563,0.9497989405026992
1201525,L405S-004,HARBOR 1,10.97,S,6,11232.0,99,0.9188852556908113,0.9191595441595442,0.8380519943019943,0.9707977207977208,-0.08519578704600106,0.03495706854381083,-0.43838792526258535,-0.5445421898464473,0.9691005897157369,0.918893740244691,0.9726835061073998
1201558,L405S-117,HARBOR 2,11.27,S,5,9360.0,99,0.9331067081067081,0.9363247863247864,0.8457264957264957,0.998397435897436,-0.0700044632601178,0.03951506265133121,-0.40216088516590304,-0.7273530946803168,0.9698314275186335,0.9331178779662316,0.9950045498316623
1201653,L405S-108,BROOKHURST2,13.58,S,4,7488.0,98,0.9938173185941044,0.9933226495726495,0.8932959401709402,1.0591613247863247,-0.0067308963389212705,0.032768565507450734,-0.42288774831318665,0.44177212644840846,0.9799087245436637,0.9938251364194992,1.0482987347127442
1201620,L405S-108,TALBERT,13.07,S,5,9360.0,98,1.0049952032094889,1.0049679487179488,0.9091880341880342,1.0560897435897436,0.0044981456676246485,0.03139521710075655,-0.6381565968284728,0.41205045819339814,0.9635025480352154,1.005003451160838,1.0577443640762345
