mean_dc,sigma_ln_dc,empirical_support,model
0.4,0.037560509377250154,False,constant
0.41,0.037560509377250154,False,constant
0.42,0.037560509377250154,False,constant
0.43,0.037560509377250154,False,constant
0.44,0.037560509377250154,False,constant
0.45,0.037560509377250154,False,constant
0.46,0.037560509377250154,False,constant
0.47,0.037560509377250154,False,constant
0.48,0.037560509377250154,False,constant
0.49,0.037560509377250154,False,constant
0.5,0.037560509377250154,False,constant
0.51,0.037560509377250154,False,constant
0.52,0.037560509377250154,False,constant
0.53,0.037560509377250154,False,constant
0.54,0.037560509377250154,False,constant
0.55,0.037560509377250154,False,constant
0.56,0.037560509377250154,True,constant
0.57,0.037560509377250154,True,constant
0.58,0.037560509377250154,True,constant
0.59,0.037560509377250154,True,constant
0.6,0.037560509377250154,True,constant
0.61,0.037560509377250154,True,constant
0.62,0.037560509377250154,True,constant
0.63,0.037560509377250154,True,constant
0.64,0.037560509377250154,True,constant
0.65,0.037560509377250154,True,constant
0.66,0.037560509377250154,True,constant
0.67,0.037560509377250154,True,constant
0.68,0.037560509377250154,True,constant
0.69,0.037560509377250154,True,constant
0.7,0.037560509377250154,True,constant
0.71,0.037560509377250154,True,constant
0.72,0.037560509377250154,True,constant
0.73,0.037560509377250154,True,constant
0.74,0.037560509377250154,True,constant
0.75,0.037560509377250154,True,constant
0.76,0.037560509377250154,True,constant
0.77,0.037560509377250154,True,constant
0.78,0.037560509377250154,True,constant
0.79,0.037560509377250154,True,constant
0.8,0.037560509377250154,True,constant
0.81,0.037560509377250154,True,constant
0.82,0.037560509377250154,True,constant
0.83,0.037560509377250154,True,constant
0.84,0.037560509377250154,True,constant
0.85,0.037560509377250154,True,constant
0.86,0.037560509377250154,True,constant
0.87,0.037560509377250154,True,constant
0.88,0.037560509377250154,True,constant
0.89,0.037560509377250154,True,constant
0.9,0.037560509377250154,True,constant
0.91,0.037560509377250154,True,constant
0.92,0.037560509377250154,True,constant
0.93,0.037560509377250154,True,constant
0.94,0.037560509377250154,True,constant
0.95,0.037560509377250154,True,constant
0.96,0.037560509377250154,True,constant
0.97,0.037560509377250154,True,constant
0.98,0.037560509377250154,True,constant
0.99,0.037560509377250154,True,constant
1.0,0.037560509377250154,True,constant
1.01,0.037560509377250154,False,constant
1.02,0.037560509377250154,False,constant
1.03,0.037560509377250154,False,constant
1.04,0.037560509377250154,False,constant
1.05,0.037560509377250154,False,constant
1.06,0.037560509377250154,False,constant
1.07,0.037560509377250154,False,constant
1.08,0.037560509377250154,False,constant
1.09,0.037560509377250154,False,constant
1.1,0.037560509377250154,False,constant
1.11,0.037560509377250154,False,constant
1.12,0.037560509377250154,False,constant
1.13,0.037560509377250154,False,constant
1.14,0.037560509377250154,False,constant
1.15,0.037560509377250154,False,constant
1.16,0.037560509377250154,False,constant
1.17,0.037560509377250154,False,constant
1.18,0.037560509377250154,False,constant
1.19,0.037560509377250154,False,constant
1.2,0.037560509377250154,False,constant
1.21,0.037560509377250154,False,constant
1.22,0.037560509377250154,False,constant
1.23,0.037560509377250154,False,constant
1.24,0.037560509377250154,False,constant
1.25,0.037560509377250154,False,constant
1.26,0.037560509377250154,False,constant
1.27,0.037560509377250154,False,constant
1.28,0.037560509377250154,False,constant
1.29,0.037560509377250154,False,constant
1.3,0.037560509377250154,False,constant
