corridor,facility,tmc_code,road_order,network_link_id,lanes,free_flow_speed_mph,capacity_speed_mph,capacity_vphpl,capacity_vph_link,s3_m,parameter_source
I-95 HOV NB,HOV,110+04658,1.0,48212,2,65.0,45.96194077712559,1800.0,3600.0,4.0,existing NVTA speed-only INRIX prior
I-95 HOV NB,HOV,110P04660,4.0,39112,2,65.0,45.96194077712559,1800.0,3600.0,4.0,existing NVTA speed-only INRIX prior
I-95 HOV NB,HOV,110+04661,5.0,39105,2,65.0,45.96194077712559,1800.0,3600.0,4.0,existing NVTA speed-only INRIX prior
I-95 HOV NB,HOV,110P04661,6.0,39105,2,65.0,45.96194077712559,1800.0,3600.0,4.0,existing NVTA speed-only INRIX prior
I-95 HOV NB,HOV,110+04662,7.0,40977,2,65.0,45.96194077712559,1800.0,3600.0,4.0,existing NVTA speed-only INRIX prior
I-95 HOV NB,HOV,110P04662,8.0,39100,2,65.0,45.96194077712559,1800.0,3600.0,4.0,existing NVTA speed-only INRIX prior
I-95 HOV NB,HOV,110P04665,13.1,31325,3,65.0,45.96194077712559,1800.0,5400.0,4.0,existing NVTA speed-only INRIX prior
I-95 HOV NB,HOV,110+04666,14.0,31439,3,65.0,45.96194077712559,1800.0,5400.0,4.0,existing NVTA speed-only INRIX prior
I-95 HOV NB,HOV,110P04666,15.0,31319,3,65.0,45.96194077712559,1800.0,5400.0,4.0,existing NVTA speed-only INRIX prior
I-95 HOV NB,HOV,110+04667,16.0,31317,3,65.0,45.96194077712559,1800.0,5400.0,4.0,existing NVTA speed-only INRIX prior
I-95 HOV NB,HOV,110P04667,17.0,31314,3,65.0,45.96194077712559,1800.0,5400.0,4.0,existing NVTA speed-only INRIX prior
I-95 HOV NB,HOV,110+04668,18.0,31312,3,65.0,45.96194077712559,1800.0,5400.0,4.0,existing NVTA speed-only INRIX prior
I-95 HOV NB,HOV,110P04668,19.0,31309,3,65.0,45.96194077712559,1800.0,5400.0,4.0,existing NVTA speed-only INRIX prior
I-95 HOV NB,HOV,110+04669,20.0,31304,3,65.0,45.96194077712559,1800.0,5400.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110P04146,652.0,47687,3,70.0,49.49747468305833,2200.0,6600.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110+04147,653.0,38200,3,70.0,49.49747468305833,2200.0,6600.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110P04147,654.0,39003,3,70.0,49.49747468305833,2200.0,6600.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110+04148,655.0,39001,3,70.0,49.49747468305833,2200.0,6600.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110+04150,659.0,39107,2,70.0,49.49747468305833,2200.0,4400.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110P04150,660.0,38196,3,70.0,49.49747468305833,2200.0,6600.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110+04151,661.0,39082,3,70.0,49.49747468305833,2200.0,6600.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110P04151,662.0,38180,3,70.0,49.49747468305833,2200.0,6600.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110+04152,663.0,39088,3,70.0,49.49747468305833,2200.0,6600.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110P04153,666.0,32087,4,70.0,49.49747468305833,2200.0,8800.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110+04154,667.0,32085,4,70.0,49.49747468305833,2200.0,8800.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110P04154,668.0,32082,4,70.0,49.49747468305833,2200.0,8800.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110+04155,669.0,29248,4,70.0,49.49747468305833,2200.0,8800.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110P04155,670.0,32081,4,70.0,49.49747468305833,2200.0,8800.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110+04156,671.0,29335,4,70.0,49.49747468305833,2200.0,8800.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110P04156,672.0,32264,4,70.0,49.49747468305833,2200.0,8800.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110+04157,673.0,32832,4,70.0,49.49747468305833,2200.0,8800.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110P04157,674.0,32832,4,70.0,49.49747468305833,2200.0,8800.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110+04158,675.0,29990,4,70.0,49.49747468305833,2200.0,8800.0,4.0,existing NVTA speed-only INRIX prior
I-95 NB,GP,110P04159,676.001,32078,4,70.0,49.49747468305833,2200.0,8800.0,4.0,existing NVTA speed-only INRIX prior
