corridor,facility,tmc_code,date_local,observed_15min_bins,minimum_speed_mph,mean_speed_mph,mean_s3_flow_vph_link,expected_15min_bins,complete_day
I-95 HOV NB,HOV,110+04658,2025-10-01,96,45.129999999999995,66.20416666666667,2446.132028819378,96,True
I-95 HOV NB,HOV,110+04658,2025-10-02,96,34.93333333333333,63.90267361111111,2463.99944968531,96,True
I-95 HOV NB,HOV,110+04658,2025-10-03,96,32.0,60.39958333333333,2546.3254454197054,96,True
I-95 HOV NB,HOV,110+04658,2025-10-06,96,41.99333333333333,64.8553125,2437.544528221549,96,True
I-95 HOV NB,HOV,110+04658,2025-10-07,96,44.593333333333334,66.56034722222222,2338.4155273580313,96,True
I-95 HOV NB,HOV,110+04658,2025-10-08,96,45.0,65.71350694444445,2406.64070508708,96,True
I-95 HOV NB,HOV,110+04658,2025-10-09,96,32.94,62.77482638888889,2518.409627538333,96,True
I-95 HOV NB,HOV,110+04658,2025-10-10,96,33.57,58.339548611111105,2583.0110453986813,96,True
I-95 HOV NB,HOV,110+04658,2025-10-13,96,30.486666666666665,66.27260416666667,2285.2420512675285,96,True
I-95 HOV NB,HOV,110+04658,2025-10-14,96,38.0,63.38753472222222,2478.6215464781612,96,True
I-95 HOV NB,HOV,110+04658,2025-10-15,96,44.92333333333334,66.20493055555555,2336.431633355736,96,True
I-95 HOV NB,HOV,110+04658,2025-10-16,96,35.763333333333335,63.11222222222222,2484.4733784012865,96,True
I-95 HOV NB,HOV,110+04658,2025-10-17,96,32.72666666666667,60.77243055555556,2522.3233326592094,96,True
I-95 HOV NB,HOV,110+04658,2025-10-20,96,31.929999999999996,62.795069444444444,2423.873169887609,96,True
I-95 HOV NB,HOV,110+04658,2025-10-21,96,39.580000000000005,64.5410763888889,2460.1564643813213,96,True
I-95 HOV NB,HOV,110+04658,2025-10-22,96,50.06666666666666,66.63472222222222,2389.056034362753,96,True
I-95 HOV NB,HOV,110+04658,2025-10-23,96,40.86333333333334,64.77541666666666,2412.998267887889,96,True
I-95 HOV NB,HOV,110+04658,2025-10-24,96,34.32333333333333,60.16954861111111,2568.769714209295,96,True
I-95 HOV NB,HOV,110+04658,2025-10-27,96,20.226666666666667,64.5290625,2472.498687810025,96,True
I-95 HOV NB,HOV,110+04658,2025-10-28,96,39.88,64.09184027777778,2477.603917683355,96,True
I-95 HOV NB,HOV,110+04658,2025-10-29,96,45.92666666666667,66.53607638888889,2363.172840586582,96,True
I-95 HOV NB,HOV,110+04658,2025-10-30,96,43.4,64.91277777777778,2411.506005282686,96,True
