corridor,facility,tmc_code,date_local,eligible_at_0.90,eligible_at_0.95,eligible_at_1.00,eligible_at_1.05,eligible_at_1.10,common_support
I-95 HOV NB,HOV,110+04658,2025-10-01,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-02,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-03,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-06,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-07,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-08,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-09,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-10,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-13,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-14,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-15,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-16,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-17,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-20,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-21,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-22,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-23,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-24,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-27,False,True,True,True,True,False
I-95 HOV NB,HOV,110+04658,2025-10-28,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-29,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-30,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04658,2025-10-31,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-01,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-02,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-03,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-06,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-07,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-08,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-09,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-10,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-13,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-14,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-15,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-16,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-17,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-20,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-21,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-22,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-23,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-24,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-27,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-28,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-29,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-30,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04661,2025-10-31,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-01,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-02,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-03,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-06,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-07,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-08,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-09,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-10,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-13,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-14,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-15,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-16,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-17,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-20,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-21,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-22,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-23,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-24,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-27,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-28,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-29,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-30,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04662,2025-10-31,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04666,2025-10-01,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04666,2025-10-02,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04666,2025-10-03,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04666,2025-10-06,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04666,2025-10-07,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04666,2025-10-08,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04666,2025-10-09,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04666,2025-10-10,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04666,2025-10-13,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04666,2025-10-14,False,False,False,False,False,False
I-95 HOV NB,HOV,110+04666,2025-10-15,False,False,False,False,False,False
