corridor,facility,tmc_code,date_local,road_order,lanes,capacity_speed_mph,capacity_vph_link,observed_15min_bins,threshold_multiplier,threshold_speed_mph,episode_identified,duration_h,demand_veh_link,d_over_c_h,episode_start_minute,episode_end_minute,minimum_speed_mph,minimum_speed_minute,touches_data_start,touches_data_end
I-95 HOV NB,HOV,110+04658,2025-10-01,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-02,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-03,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-06,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-07,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-08,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-09,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-10,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-13,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-14,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-15,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-16,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-17,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-20,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-21,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-22,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-23,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-24,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-27,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-28,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
I-95 HOV NB,HOV,110+04658,2025-10-29,1.0,2,45.96194077712559,3600.0,96,0.9,41.36574669941303,False,0.0,0.0,0.0,,,,,False,False
