corridor,facility,threshold_multiplier,common_support_observations,common_support_tmcs,median_duration_h,median_d_over_c_h,fit_status,fd,n,r_squared,rmse_h,n_at_boundary,fd_change_vs_1pct,n_change_vs_1pct
I-95 HOV NB,HOV,0.9,2,2,1.059664829564233,0.6573288282420777,insufficient_common_support,,,,,False,,
I-95 HOV NB,HOV,0.95,2,2,1.1225229528761376,0.6573288282420777,insufficient_common_support,,,,,False,,
I-95 HOV NB,HOV,1.0,2,2,1.1866030770850917,0.8956062496630505,insufficient_common_support,,,,,False,,
I-95 HOV NB,HOV,1.05,2,2,1.2516465829225634,0.8956062496630505,insufficient_common_support,,,,,False,,
I-95 HOV NB,HOV,1.1,2,2,1.3166900887600348,0.8956062496630505,insufficient_common_support,,,,,False,,
I-95 NB,GP,0.9,276,20,2.1074570168004207,1.7474047085077118,fitted,1.227014881383084,0.9390000000000008,0.9475639159123946,0.24115923312559762,False,5.715332144492691,-3.6923076923076947
I-95 NB,GP,0.95,276,20,2.344157888519361,1.991527926228153,fitted,1.2284931451023184,0.9270000000000008,0.9483610312629103,0.24545916338018892,False,5.8426942021556405,-4.923076923076919
I-95 NB,GP,1.0,276,20,2.566642975166323,2.2259680081673094,fitted,1.1606782634953923,0.9750000000000009,0.9589245469594819,0.2657331062760032,False,0.0,0.0
I-95 NB,GP,1.05,276,20,2.8006293965196747,2.455488795116489,fitted,1.1279762139519127,0.9950000000000009,0.9594079707131206,0.30606256455234954,False,-2.8174947849024967,2.051282051282044
I-95 NB,GP,1.1,276,20,3.0583789677611684,2.766100664139349,fitted,1.1555731927714925,0.9730000000000009,0.9744310794638374,0.3142433207261742,False,-0.4398351278265378,-0.20512820512820218
