corridor,facility,tmc_code,road_order,network_link_id,lanes,free_flow_speed_mph,capacity_speed_mph,capacity_vphpl,capacity_vph_link,s3_m,parameter_source
I-95 HOV NB,HOV,110+04658,1.0,48212,2,73.0,51.618795026617974,2000.0,4000.0,4.0,TMC weekday off-peak observed-speed P85; Cube AM IAMHRLNCAP/IAMHRLKCAP
I-95 HOV NB,HOV,110P04660,4.0,39112,2,71.0,50.204581464244875,2000.0,4000.0,4.0,TMC weekday off-peak observed-speed P85; Cube AM IAMHRLNCAP/IAMHRLKCAP
I-95 HOV NB,HOV,110+04661,5.0,39105,2,71.0,50.204581464244875,2000.0,4000.0,4.0,TMC weekday off-peak observed-speed P85; Cube AM IAMHRLNCAP/IAMHRLKCAP
I-95 HOV NB,HOV,110P04661,6.0,39105,2,71.0,50.204581464244875,2000.0,4000.0,4.0,TMC weekday off-peak observed-speed P85; Cube AM IAMHRLNCAP/IAMHRLKCAP
I-95 HOV NB,HOV,110+04662,7.0,40977,2,70.0,49.49747468305833,2000.0,4000.0,4.0,TMC weekday off-peak observed-speed P85; Cube AM IAMHRLNCAP/IAMHRLKCAP
I-95 HOV NB,HOV,110P04662,8.0,39100,2,71.0,50.204581464244875,2000.0,4000.0,4.0,TMC weekday off-peak observed-speed P85; Cube AM IAMHRLNCAP/IAMHRLKCAP
I-95 HOV NB,HOV,110P04665,13.1,31325,3,72.0,50.91168824543143,2000.0,6000.0,4.0,TMC weekday off-peak observed-speed P85; Cube AM IAMHRLNCAP/IAMHRLKCAP
I-95 HOV NB,HOV,110+04666,14.0,31439,3,71.0,50.204581464244875,2000.0,6000.0,4.0,TMC weekday off-peak observed-speed P85; Cube AM IAMHRLNCAP/IAMHRLKCAP
I-95 HOV NB,HOV,110P04666,15.0,31319,3,70.0,49.49747468305833,2000.0,6000.0,4.0,TMC weekday off-peak observed-speed P85; Cube AM IAMHRLNCAP/IAMHRLKCAP
I-95 HOV NB,HOV,110+04667,16.0,31317,3,71.0,50.204581464244875,2000.0,6000.0,4.0,TMC weekday off-peak observed-speed P85; Cube AM IAMHRLNCAP/IAMHRLKCAP
I-95 HOV NB,HOV,110P04667,17.0,31314,3,71.0,50.204581464244875,2000.0,6000.0,4.0,TMC weekday off-peak observed-speed P85; Cube AM IAMHRLNCAP/IAMHRLKCAP
