corridor,facility,tmc_code,date_local,observed_15min_bins,minimum_speed_mph,mean_speed_mph,mean_s3_flow_vph_link,expected_15min_bins,complete_day
I-95 HOV NB,HOV,110+04658,2025-10-01,96,45.129999999999995,66.20416666666667,2929.978360571216,96,True
I-95 HOV NB,HOV,110+04658,2025-10-02,96,34.93333333333333,63.90267361111111,2930.111183984891,96,True
I-95 HOV NB,HOV,110+04658,2025-10-03,96,32.0,60.39958333333333,2912.0913920284784,96,True
I-95 HOV NB,HOV,110+04658,2025-10-06,96,41.99333333333333,64.8553125,3040.6014204836297,96,True
I-95 HOV NB,HOV,110+04658,2025-10-07,96,44.593333333333334,66.56034722222222,2931.072258699886,96,True
I-95 HOV NB,HOV,110+04658,2025-10-08,96,45.0,65.71350694444445,2968.7206753640526,96,True
I-95 HOV NB,HOV,110+04658,2025-10-09,96,32.94,62.77482638888889,2976.8735626536377,96,True
I-95 HOV NB,HOV,110+04658,2025-10-10,96,33.57,58.339548611111105,2963.8417222111198,96,True
I-95 HOV NB,HOV,110+04658,2025-10-13,96,30.486666666666665,66.27260416666667,2858.044939846448,96,True
I-95 HOV NB,HOV,110+04658,2025-10-14,96,38.0,63.38753472222222,3002.909711173456,96,True
I-95 HOV NB,HOV,110+04658,2025-10-15,96,44.92333333333334,66.20493055555555,2967.0930391511465,96,True
I-95 HOV NB,HOV,110+04658,2025-10-16,96,35.763333333333335,63.11222222222222,2940.8741359224805,96,True
I-95 HOV NB,HOV,110+04658,2025-10-17,96,32.72666666666667,60.77243055555556,3038.135888439701,96,True
I-95 HOV NB,HOV,110+04658,2025-10-20,96,31.929999999999996,62.795069444444444,3072.3952124317257,96,True
I-95 HOV NB,HOV,110+04658,2025-10-21,96,39.580000000000005,64.5410763888889,2957.5616800507164,96,True
I-95 HOV NB,HOV,110+04658,2025-10-22,96,50.06666666666666,66.63472222222222,2922.3117345879436,96,True
I-95 HOV NB,HOV,110+04658,2025-10-23,96,40.86333333333334,64.77541666666666,2908.179605458052,96,True
I-95 HOV NB,HOV,110+04658,2025-10-24,96,34.32333333333333,60.16954861111111,2948.6534895343552,96,True
I-95 HOV NB,HOV,110+04658,2025-10-27,96,20.226666666666667,64.5290625,3054.9364812583535,96,True
I-95 HOV NB,HOV,110+04658,2025-10-28,96,39.88,64.09184027777778,3051.5222124471384,96,True
I-95 HOV NB,HOV,110+04658,2025-10-29,96,45.92666666666667,66.53607638888889,2929.4584227032087,96,True
I-95 HOV NB,HOV,110+04658,2025-10-30,96,43.4,64.91277777777778,3053.6658467884695,96,True
I-95 HOV NB,HOV,110+04658,2025-10-31,96,35.946666666666665,62.07541666666666,2995.295635784211,96,True
I-95 HOV NB,HOV,110+04661,2025-10-01,96,40.0,61.11996527777777,3027.1663072760944,96,True
