corridor,facility,threshold_multiplier,common_support_observations,common_support_tmcs,median_duration_h,median_d_over_c_h,fit_status,fd,n,r_squared,rmse_h,n_at_boundary,fd_change_vs_1pct,n_change_vs_1pct
I-95 HOV NB,HOV,0.9,3,3,1.0396936174042575,0.6845550918358022,insufficient_common_support,,,,,False,,
I-95 HOV NB,HOV,0.95,3,3,1.106097589716969,0.6845550918358022,insufficient_common_support,,,,,False,,
I-95 HOV NB,HOV,1.0,3,3,1.172501562029681,0.6845550918358022,insufficient_common_support,,,,,False,,
I-95 HOV NB,HOV,1.05,3,3,1.2392343909097576,0.8808213424807757,insufficient_common_support,,,,,False,,
I-95 HOV NB,HOV,1.1,3,3,1.316410200579737,1.0796056395757274,insufficient_common_support,,,,,False,,
I-95 NB,GP,0.9,275,20,2.074986894210298,1.7582239848176173,fitted,1.2228999756513588,0.9430000000000008,0.9481701997202849,0.23632432741331572,False,4.940233313881537,-2.9835390946502005
I-95 NB,GP,0.95,275,20,2.299000000174388,1.9627642532698288,fitted,1.2278851448382138,0.9280000000000008,0.9482847190213198,0.244892987282193,False,5.368023671223798,-4.526748971193417
I-95 NB,GP,1.0,275,20,2.4961397777478007,2.1343966826922696,fitted,1.165329956903758,0.9720000000000009,0.9589194451613814,0.2644519137814172,False,0.0,0.0
I-95 NB,GP,1.05,275,20,2.7229435487413878,2.353897933235435,fitted,1.1633092378277756,0.9720000000000009,0.9549616898564207,0.2838004028306255,False,-0.1734031691205673,0.0
I-95 NB,GP,1.1,275,20,2.966591026695977,2.613064285128107,fitted,1.151035659455768,0.9790000000000009,0.9660710906341358,0.3080149959729665,False,-1.2266309094095096,0.7201646090535085
