corridor,facility,date_local,threshold_multiplier,threshold_speed_ratio_to_vf,total_tmc_count,total_link_miles,qualifying_tmc_count,qualifying_link_miles,congested_link_mile_hours,qualifying_tmc_share
I-95 HOV NB,HOV,2025-10-01,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-02,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-03,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-06,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-07,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-08,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-09,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-10,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-13,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-14,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-15,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-16,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-17,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-20,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-21,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-22,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-23,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-24,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-27,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-28,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-29,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-30,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-31,0.25,0.25,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-01,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-02,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-03,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-06,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-07,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-08,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-09,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-10,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-13,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-14,0.5,0.5,14,14.819142000000001,2,0.9244140000000001,0.7712283703090463,0.14285714285714285
I-95 HOV NB,HOV,2025-10-15,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-16,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-17,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-20,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-21,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-22,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-23,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-24,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-27,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-28,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-29,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-30,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 HOV NB,HOV,2025-10-31,0.5,0.5,14,14.819142000000001,0,0.0,0.0,0.0
I-95 NB,GP,2025-10-01,0.25,0.25,20,17.513618,3,2.463765,2.2713520761387915,0.15
I-95 NB,GP,2025-10-02,0.25,0.25,20,17.513618,1,1.247942,0.9810782219614942,0.05
I-95 NB,GP,2025-10-03,0.25,0.25,20,17.513618,1,0.647826,1.0940307318586924,0.05
I-95 NB,GP,2025-10-06,0.25,0.25,20,17.513618,0,0.0,0.0,0.0
I-95 NB,GP,2025-10-07,0.25,0.25,20,17.513618,1,0.523557,0.627189103966589,0.05
I-95 NB,GP,2025-10-08,0.25,0.25,20,17.513618,2,2.510418,1.3626607495791752,0.1
I-95 NB,GP,2025-10-09,0.25,0.25,20,17.513618,0,0.0,0.0,0.0
I-95 NB,GP,2025-10-10,0.25,0.25,20,17.513618,8,6.700829,8.13199436812139,0.4
I-95 NB,GP,2025-10-13,0.25,0.25,20,17.513618,0,0.0,0.0,0.0
I-95 NB,GP,2025-10-14,0.25,0.25,20,17.513618,3,2.750354,2.4468505030424827,0.15
I-95 NB,GP,2025-10-15,0.25,0.25,20,17.513618,0,0.0,0.0,0.0
I-95 NB,GP,2025-10-16,0.25,0.25,20,17.513618,1,1.247942,0.8425819594213627,0.05
I-95 NB,GP,2025-10-17,0.25,0.25,20,17.513618,0,0.0,0.0,0.0
I-95 NB,GP,2025-10-20,0.25,0.25,20,17.513618,2,1.735295,1.6625385761246823,0.1
I-95 NB,GP,2025-10-21,0.25,0.25,20,17.513618,6,5.085982,5.513954347289175,0.3
I-95 NB,GP,2025-10-22,0.25,0.25,20,17.513618,0,0.0,0.0,0.0
I-95 NB,GP,2025-10-23,0.25,0.25,20,17.513618,0,0.0,0.0,0.0
I-95 NB,GP,2025-10-24,0.25,0.25,20,17.513618,3,2.052007,2.241094411879776,0.15
I-95 NB,GP,2025-10-27,0.25,0.25,20,17.513618,0,0.0,0.0,0.0
I-95 NB,GP,2025-10-28,0.25,0.25,20,17.513618,2,1.48401,1.0128031834841527,0.1
I-95 NB,GP,2025-10-29,0.25,0.25,20,17.513618,3,2.499069,1.8373069101089738,0.15
I-95 NB,GP,2025-10-30,0.25,0.25,20,17.513618,7,6.419579,5.487777676672214,0.35
I-95 NB,GP,2025-10-31,0.25,0.25,20,17.513618,0,0.0,0.0,0.0
I-95 NB,GP,2025-10-01,0.5,0.5,20,17.513618,16,12.833419,34.63343753680292,0.8
I-95 NB,GP,2025-10-02,0.5,0.5,20,17.513618,6,5.924115,8.910447556281357,0.3
I-95 NB,GP,2025-10-03,0.5,0.5,20,17.513618,7,5.68073,9.741271734464291,0.35
I-95 NB,GP,2025-10-06,0.5,0.5,20,17.513618,9,8.312637,11.276770330193125,0.45
I-95 NB,GP,2025-10-07,0.5,0.5,20,17.513618,8,7.131649,9.39676824657587,0.4
I-95 NB,GP,2025-10-08,0.5,0.5,20,17.513618,14,11.173314,21.141728870732795,0.7
I-95 NB,GP,2025-10-09,0.5,0.5,20,17.513618,10,10.007641,17.569147157795307,0.5
I-95 NB,GP,2025-10-10,0.5,0.5,20,17.513618,10,7.994854,15.011447997568153,0.5
I-95 NB,GP,2025-10-13,0.5,0.5,20,17.513618,0,0.0,0.0,0.0
I-95 NB,GP,2025-10-14,0.5,0.5,20,17.513618,13,9.925372,26.650527514219835,0.65
I-95 NB,GP,2025-10-15,0.5,0.5,20,17.513618,9,8.62052,15.103647166566097,0.45
I-95 NB,GP,2025-10-16,0.5,0.5,20,17.513618,13,10.726806,19.15946440390821,0.65
I-95 NB,GP,2025-10-17,0.5,0.5,20,17.513618,4,4.224971,6.1763732522951615,0.2
I-95 NB,GP,2025-10-20,0.5,0.5,20,17.513618,6,7.119311,11.049107500485556,0.3
I-95 NB,GP,2025-10-21,0.5,0.5,20,17.513618,9,7.215092,10.74676401018351,0.45
I-95 NB,GP,2025-10-22,0.5,0.5,20,17.513618,9,8.509126,16.91144818615477,0.45
I-95 NB,GP,2025-10-23,0.5,0.5,20,17.513618,9,7.702409,13.932451879888237,0.45
I-95 NB,GP,2025-10-24,0.5,0.5,20,17.513618,8,7.100899,10.008680629748016,0.4
I-95 NB,GP,2025-10-27,0.5,0.5,20,17.513618,6,5.601455,8.228173085992545,0.3
I-95 NB,GP,2025-10-28,0.5,0.5,20,17.513618,9,8.312637,15.784782258059673,0.45
I-95 NB,GP,2025-10-29,0.5,0.5,20,17.513618,11,10.092182,15.41485622885689,0.55
I-95 NB,GP,2025-10-30,0.5,0.5,20,17.513618,11,9.384873,15.424321698339517,0.55
I-95 NB,GP,2025-10-31,0.5,0.5,20,17.513618,4,2.013307,1.231566988108835,0.2
I-95 NB combined,ALL,2025-10-01,0.25,0.25,34,32.33276,3,2.463765,2.2713520761387915,0.08823529411764706
I-95 NB combined,ALL,2025-10-02,0.25,0.25,34,32.33276,1,1.247942,0.9810782219614942,0.029411764705882353
I-95 NB combined,ALL,2025-10-03,0.25,0.25,34,32.33276,1,0.647826,1.0940307318586924,0.029411764705882353
I-95 NB combined,ALL,2025-10-06,0.25,0.25,34,32.33276,0,0.0,0.0,0.0
I-95 NB combined,ALL,2025-10-07,0.25,0.25,34,32.33276,1,0.523557,0.627189103966589,0.029411764705882353
I-95 NB combined,ALL,2025-10-08,0.25,0.25,34,32.33276,2,2.510418,1.3626607495791752,0.058823529411764705
I-95 NB combined,ALL,2025-10-09,0.25,0.25,34,32.33276,0,0.0,0.0,0.0
I-95 NB combined,ALL,2025-10-10,0.25,0.25,34,32.33276,8,6.700829,8.13199436812139,0.23529411764705882
I-95 NB combined,ALL,2025-10-13,0.25,0.25,34,32.33276,0,0.0,0.0,0.0
I-95 NB combined,ALL,2025-10-14,0.25,0.25,34,32.33276,3,2.750354,2.4468505030424827,0.08823529411764706
I-95 NB combined,ALL,2025-10-15,0.25,0.25,34,32.33276,0,0.0,0.0,0.0
I-95 NB combined,ALL,2025-10-16,0.25,0.25,34,32.33276,1,1.247942,0.8425819594213627,0.029411764705882353
I-95 NB combined,ALL,2025-10-17,0.25,0.25,34,32.33276,0,0.0,0.0,0.0
I-95 NB combined,ALL,2025-10-20,0.25,0.25,34,32.33276,2,1.735295,1.6625385761246823,0.058823529411764705
I-95 NB combined,ALL,2025-10-21,0.25,0.25,34,32.33276,6,5.085982,5.513954347289175,0.17647058823529413
I-95 NB combined,ALL,2025-10-22,0.25,0.25,34,32.33276,0,0.0,0.0,0.0
I-95 NB combined,ALL,2025-10-23,0.25,0.25,34,32.33276,0,0.0,0.0,0.0
I-95 NB combined,ALL,2025-10-24,0.25,0.25,34,32.33276,3,2.052007,2.241094411879776,0.08823529411764706
I-95 NB combined,ALL,2025-10-27,0.25,0.25,34,32.33276,0,0.0,0.0,0.0
I-95 NB combined,ALL,2025-10-28,0.25,0.25,34,32.33276,2,1.48401,1.0128031834841527,0.058823529411764705
I-95 NB combined,ALL,2025-10-29,0.25,0.25,34,32.33276,3,2.499069,1.8373069101089738,0.08823529411764706
I-95 NB combined,ALL,2025-10-30,0.25,0.25,34,32.33276,7,6.419579,5.487777676672214,0.20588235294117646
I-95 NB combined,ALL,2025-10-31,0.25,0.25,34,32.33276,0,0.0,0.0,0.0
I-95 NB combined,ALL,2025-10-01,0.5,0.5,34,32.33276,16,12.833419,34.63343753680292,0.47058823529411764
I-95 NB combined,ALL,2025-10-02,0.5,0.5,34,32.33276,6,5.924115,8.910447556281357,0.17647058823529413
I-95 NB combined,ALL,2025-10-03,0.5,0.5,34,32.33276,7,5.68073,9.741271734464291,0.20588235294117646
I-95 NB combined,ALL,2025-10-06,0.5,0.5,34,32.33276,9,8.312637,11.276770330193125,0.2647058823529412
I-95 NB combined,ALL,2025-10-07,0.5,0.5,34,32.33276,8,7.131649,9.39676824657587,0.23529411764705882
I-95 NB combined,ALL,2025-10-08,0.5,0.5,34,32.33276,14,11.173314,21.141728870732795,0.4117647058823529
I-95 NB combined,ALL,2025-10-09,0.5,0.5,34,32.33276,10,10.007641,17.569147157795307,0.29411764705882354
I-95 NB combined,ALL,2025-10-10,0.5,0.5,34,32.33276,10,7.994854,15.011447997568153,0.29411764705882354
I-95 NB combined,ALL,2025-10-13,0.5,0.5,34,32.33276,0,0.0,0.0,0.0
I-95 NB combined,ALL,2025-10-14,0.5,0.5,34,32.33276,15,10.849786,27.42175588452888,0.4411764705882353
I-95 NB combined,ALL,2025-10-15,0.5,0.5,34,32.33276,9,8.62052,15.103647166566097,0.2647058823529412
I-95 NB combined,ALL,2025-10-16,0.5,0.5,34,32.33276,13,10.726806,19.15946440390821,0.38235294117647056
I-95 NB combined,ALL,2025-10-17,0.5,0.5,34,32.33276,4,4.224971,6.1763732522951615,0.11764705882352941
I-95 NB combined,ALL,2025-10-20,0.5,0.5,34,32.33276,6,7.119311,11.049107500485556,0.17647058823529413
I-95 NB combined,ALL,2025-10-21,0.5,0.5,34,32.33276,9,7.215092,10.74676401018351,0.2647058823529412
I-95 NB combined,ALL,2025-10-22,0.5,0.5,34,32.33276,9,8.509126,16.91144818615477,0.2647058823529412
I-95 NB combined,ALL,2025-10-23,0.5,0.5,34,32.33276,9,7.702409,13.932451879888237,0.2647058823529412
I-95 NB combined,ALL,2025-10-24,0.5,0.5,34,32.33276,8,7.100899,10.008680629748016,0.23529411764705882
I-95 NB combined,ALL,2025-10-27,0.5,0.5,34,32.33276,6,5.601455,8.228173085992545,0.17647058823529413
I-95 NB combined,ALL,2025-10-28,0.5,0.5,34,32.33276,9,8.312637,15.784782258059673,0.2647058823529412
I-95 NB combined,ALL,2025-10-29,0.5,0.5,34,32.33276,11,10.092182,15.41485622885689,0.3235294117647059
I-95 NB combined,ALL,2025-10-30,0.5,0.5,34,32.33276,11,9.384873,15.424321698339517,0.3235294117647059
I-95 NB combined,ALL,2025-10-31,0.5,0.5,34,32.33276,4,2.013307,1.231566988108835,0.11764705882352941
