corridor,facility,tmc_code,date_local,road_order,length_mi,lanes,free_flow_speed_mph,capacity_speed_mph,capacity_vph_link,observed_15min_bins,threshold_multiplier,threshold_basis,threshold_speed_mph,threshold_speed_ratio_to_vf,threshold_speed_ratio_to_vc,episode_identified,duration_h,demand_veh_link,d_over_c_h,episode_start_minute,episode_end_minute,minimum_speed_mph,minimum_speed_minute,touches_data_start,touches_data_end,uncensored_episode,congested_link_mile_hours,qualifying_link_miles
I-95 HOV NB,HOV,110+04658,2025-10-01,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-02,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-03,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-06,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-07,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-08,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-09,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-10,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-13,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-14,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-15,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-16,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-17,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-20,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-21,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-22,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-23,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-24,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-27,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-28,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-29,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-30,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-31,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.25,free_flow_speed,18.25,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-01,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.25,free_flow_speed,17.75,0.25,0.3535533905932738,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-02,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.25,free_flow_speed,17.75,0.25,0.3535533905932738,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-03,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.25,free_flow_speed,17.75,0.25,0.3535533905932738,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-06,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.25,free_flow_speed,17.75,0.25,0.3535533905932738,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-07,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.25,free_flow_speed,17.75,0.25,0.3535533905932738,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-08,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.25,free_flow_speed,17.75,0.25,0.3535533905932738,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
