corridor,facility,tmc,road_order,net_link_id,allowed_use,AMLIMIT,PMLIMIT,period_operation_flag,net_lanes,lanes,mapping_lane_difference,legacy_capacity_vphpl,net_capacity_raw,capacity,IAMHRLNCAP,IAMHRLKCAP,IPMHRLNCAP,IPMHRLKCAP,recommended_capacity_vphpl,recommended_capacity_vph_link,mapping_capacity_vphpl_difference,am_capacity_identity_error_vph,pm_capacity_identity_error_vph,mapping_matches_am_network,facility_operation_review,dc_capacity_effect
I-95 HOV NB,HOV,110+04658,1.0,48212,sov;hov2;hov3;com;apv,4,9,open AM / closed PM reversible code,2,2,0,1800.0,2000,2000,2000,4000,2000,4000,2000,4000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 HOV NB,HOV,110P04660,4.0,39112,sov;hov2;hov3;com;apv,4,9,open AM / closed PM reversible code,2,2,0,1800.0,2000,2000,2000,4000,2000,4000,2000,4000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 HOV NB,HOV,110+04661,5.0,39105,sov;hov2;hov3;com;apv,4,9,open AM / closed PM reversible code,2,2,0,1800.0,2000,2000,2000,4000,2000,4000,2000,4000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 HOV NB,HOV,110P04661,6.0,39105,sov;hov2;hov3;com;apv,4,9,open AM / closed PM reversible code,2,2,0,1800.0,2000,2000,2000,4000,2000,4000,2000,4000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 HOV NB,HOV,110+04662,7.0,40977,sov;hov2;hov3;com;apv,4,9,open AM / closed PM reversible code,2,2,0,1800.0,2000,2000,2000,4000,2000,4000,2000,4000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 HOV NB,HOV,110P04662,8.0,39100,sov;hov2;hov3;com;apv,4,9,open AM / closed PM reversible code,2,2,0,1800.0,2000,2000,2000,4000,2000,4000,2000,4000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 HOV NB,HOV,110P04665,13.1,31325,sov;hov2;hov3;com;apv,4,9,open AM / closed PM reversible code,3,3,0,1800.0,2000,2000,2000,6000,2000,6000,2000,6000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 HOV NB,HOV,110+04666,14.0,31439,sov;hov2;hov3;com;apv,4,9,open AM / closed PM reversible code,3,3,0,1800.0,2000,2000,2000,6000,2000,6000,2000,6000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 HOV NB,HOV,110P04666,15.0,31319,sov;hov2;hov3;com;apv,4,9,open AM / closed PM reversible code,3,3,0,1800.0,2000,2000,2000,6000,2000,6000,2000,6000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 HOV NB,HOV,110+04667,16.0,31317,sov;hov2;hov3;com;apv,4,9,open AM / closed PM reversible code,3,3,0,1800.0,2000,2000,2000,6000,2000,6000,2000,6000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 HOV NB,HOV,110P04667,17.0,31314,sov;hov2;hov3;com;apv,4,9,open AM / closed PM reversible code,3,3,0,1800.0,2000,2000,2000,6000,2000,6000,2000,6000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 HOV NB,HOV,110+04668,18.0,31312,sov;hov2;hov3;com;apv,4,9,open AM / closed PM reversible code,3,3,0,1800.0,2000,2000,2000,6000,2000,6000,2000,6000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 HOV NB,HOV,110P04668,19.0,31309,sov;hov2;hov3;com;apv,4,9,open AM / closed PM reversible code,3,3,0,1800.0,2000,2000,2000,6000,2000,6000,2000,6000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 HOV NB,HOV,110+04669,20.0,31304,sov;hov2;hov3;com;apv,4,9,open AM / closed PM reversible code,3,3,0,1800.0,2000,2000,2000,6000,2000,6000,2000,6000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110P04146,652.0,47687,sov;hov2;hov3;trk;apv;com,0,0,open both periods,3,3,0,2200.0,2000,2000,2000,6000,2000,6000,2000,6000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110+04147,653.0,38200,sov;hov2;hov3;trk;apv;com,0,0,open both periods,3,3,0,2200.0,2000,2000,2000,6000,2000,6000,2000,6000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110P04147,654.0,39003,sov;hov2;hov3;trk;apv;com,0,0,open both periods,3,3,0,2200.0,2000,2000,2000,6000,2000,6000,2000,6000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110+04148,655.0,39001,sov;hov2;hov3;trk;apv;com,0,0,open both periods,3,3,0,2200.0,2000,2000,2000,6000,2000,6000,2000,6000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
