corridor,facility,tmc_code,road_order,net_link_id,weekday_dates,weekday_records,legacy_vf_mph,ritis_reference_mph,observed_offpeak_p50_mph,observed_offpeak_p85_mph,observed_offpeak_p95_mph,net_free_speed_mph,recommended_calibration_vf_mph,recommended_calibration_vf_source,model_application_vf_mph,model_application_vf_source,network_minus_offpeak_p85_mph,ritis_reference_minus_offpeak_p85_mph,legacy_minus_offpeak_p85_mph,network_within_5mph_of_offpeak_p85,legacy_within_5mph_of_offpeak_p85,ritis_reference_unique_values,audit_finding
I-95 HOV NB,HOV,110+04658,1.0,48212,23,6624,65.0,73.0,73.0,73.0,73.32350000000002,74.99981358864233,73.0,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,1.9998135886423256,0.0,-8.0,True,False,1,legacy HOV prior is lower than all three link-level evidence sources
I-95 HOV NB,HOV,110P04660,4.0,39112,23,6624,65.0,71.0,71.0,71.0,73.0,74.99981358864233,71.0,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,3.9998135886423256,0.0,-6.0,True,False,1,legacy HOV prior is lower than all three link-level evidence sources
I-95 HOV NB,HOV,110+04661,5.0,39105,23,6624,65.0,71.0,71.0,71.0,73.0,74.99981358864233,71.0,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,3.9998135886423256,0.0,-6.0,True,False,1,legacy HOV prior is lower than all three link-level evidence sources
I-95 HOV NB,HOV,110P04661,6.0,39105,23,6624,65.0,71.0,71.0,71.0,73.0,74.99981358864233,71.0,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,3.9998135886423256,0.0,-6.0,True,False,1,legacy HOV prior is lower than all three link-level evidence sources
I-95 HOV NB,HOV,110+04662,7.0,40977,23,6624,65.0,70.0,70.0,70.0,72.0,74.99981358864233,70.0,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,4.999813588642326,0.0,-5.0,True,True,1,legacy HOV prior is lower than all three link-level evidence sources
I-95 HOV NB,HOV,110P04662,8.0,39100,23,6624,65.0,71.0,71.0,71.0,73.0,74.99981358864233,71.0,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,3.9998135886423256,0.0,-6.0,True,False,1,legacy HOV prior is lower than all three link-level evidence sources
I-95 HOV NB,HOV,110P04665,13.1,31325,23,6624,65.0,72.0,72.0,72.0,73.0,74.99981358864233,72.0,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,2.9998135886423256,0.0,-7.0,True,False,1,legacy HOV prior is lower than all three link-level evidence sources
I-95 HOV NB,HOV,110+04666,14.0,31439,23,6624,65.0,71.0,70.0,71.0,72.1965,74.99981358864233,71.0,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,3.9998135886423256,0.0,-6.0,True,False,1,legacy HOV prior is lower than all three link-level evidence sources
I-95 HOV NB,HOV,110P04666,15.0,31319,23,6624,65.0,69.0,67.8,70.0,72.39,74.99981358864233,70.0,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,4.999813588642326,-1.0,-5.0,True,True,1,legacy HOV prior is lower than all three link-level evidence sources
I-95 HOV NB,HOV,110+04667,16.0,31317,23,6624,65.0,69.0,67.89500000000001,71.0,73.0,74.99981358864233,71.0,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,3.9998135886423256,-2.0,-6.0,True,False,1,legacy HOV prior is lower than all three link-level evidence sources
I-95 HOV NB,HOV,110P04667,17.0,31314,23,6624,65.0,71.0,71.0,71.0,72.4,74.99981358864233,71.0,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,3.9998135886423256,0.0,-6.0,True,False,1,legacy HOV prior is lower than all three link-level evidence sources
I-95 HOV NB,HOV,110+04668,18.0,31312,23,6624,65.0,71.0,71.0,71.0,73.0,74.99981358864233,71.0,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,3.9998135886423256,0.0,-6.0,True,False,1,legacy HOV prior is lower than all three link-level evidence sources
I-95 HOV NB,HOV,110P04668,19.0,31309,23,6619,65.0,70.0,70.0,70.0,72.0,74.99981358864233,70.0,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,4.999813588642326,0.0,-5.0,True,True,1,legacy HOV prior is lower than all three link-level evidence sources
I-95 HOV NB,HOV,110+04669,20.0,31304,23,6619,65.0,68.0,68.0,69.7665,72.19,74.99981358864233,69.7665,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,5.233313588642332,-1.7664999999999935,-4.7664999999999935,False,True,1,legacy HOV prior is lower than all three link-level evidence sources
I-95 NB,GP,110P04146,652.0,47687,23,6624,70.0,67.0,70.0,71.99,73.0,74.99981358864233,71.99,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,3.0098135886423307,-4.989999999999995,-1.9899999999999949,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110+04147,653.0,38200,23,6624,70.0,67.0,70.39,72.0,73.0,74.99981358864233,72.0,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,2.9998135886423256,-5.0,-2.0,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110P04147,654.0,39003,23,6624,70.0,68.0,70.4,72.38,73.39,74.99981358864233,72.38,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,2.61981358864233,-4.3799999999999955,-2.3799999999999955,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110+04148,655.0,39001,23,6624,70.0,66.0,70.0,71.59,72.79,74.99981358864233,71.59,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,3.409813588642322,-5.590000000000003,-1.5900000000000034,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110+04150,659.0,39107,23,6624,70.0,65.0,68.6,70.8,72.19,74.99981358864233,70.8,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,74.99981358864233,AM Cube network free speed,4.1998135886423285,-5.799999999999997,-0.7999999999999972,True,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110P04150,660.0,38196,23,6624,70.0,65.0,68.795,70.9995,72.19,62.99984341445955,70.9995,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,62.99984341445955,AM Cube network free speed,-7.99965658554045,-5.999499999999998,-0.9994999999999976,False,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
I-95 NB,GP,110+04151,661.0,39082,23,6624,70.0,63.0,67.725,69.99,71.09750000000001,62.99984341445955,69.99,weekday 00:00-05:00 and 21:00-24:00 observed speed P85,62.99984341445955,AM Cube network free speed,-6.990156585540447,-6.989999999999995,0.010000000000005116,False,True,1,replace facility-wide prior with link-level offpeak P85; retain network speed as model-transfer check
