link_id,date_local,demand_vph_link,capacity_vph_link,demand_capacity_ratio,peak_hour_start_local,peak_hour_end_local,demand_definition
L405S-114,2025-09-05,6294.000000,6600.300000,0.953593,2025-09-05T06:25:00-07:00,2025-09-05T07:25:00-07:00,maximum_rolling_60min_mean_flow
L405S-114,2025-09-08,6118.000000,6600.300000,0.926928,2025-09-08T06:20:00-07:00,2025-09-08T07:20:00-07:00,maximum_rolling_60min_mean_flow
L405S-114,2025-09-09,5670.500000,6600.300000,0.859128,2025-09-09T06:15:00-07:00,2025-09-09T07:15:00-07:00,maximum_rolling_60min_mean_flow
L405S-114,2025-09-10,6190.000000,6600.300000,0.937836,2025-09-10T06:15:00-07:00,2025-09-10T07:15:00-07:00,maximum_rolling_60min_mean_flow
L405S-114,2025-09-11,5966.000000,6600.300000,0.903898,2025-09-11T06:10:00-07:00,2025-09-11T07:10:00-07:00,maximum_rolling_60min_mean_flow
L405S-114,2025-09-12,6139.000000,6600.300000,0.930109,2025-09-12T06:30:00-07:00,2025-09-12T07:30:00-07:00,maximum_rolling_60min_mean_flow
L405S-114,2025-09-15,6454.000000,6600.300000,0.977834,2025-09-15T06:20:00-07:00,2025-09-15T07:20:00-07:00,maximum_rolling_60min_mean_flow
L405S-114,2025-09-16,6146.000000,6600.300000,0.931170,2025-09-16T06:15:00-07:00,2025-09-16T07:15:00-07:00,maximum_rolling_60min_mean_flow
L405S-114,2025-09-17,5451.000000,6600.300000,0.825872,2025-09-17T06:20:00-07:00,2025-09-17T07:20:00-07:00,maximum_rolling_60min_mean_flow
L405S-114,2025-09-18,6270.500000,6600.300000,0.950033,2025-09-18T06:15:00-07:00,2025-09-18T07:15:00-07:00,maximum_rolling_60min_mean_flow
L405S-114,2025-09-19,6135.500000,6600.300000,0.929579,2025-09-19T06:25:00-07:00,2025-09-19T07:25:00-07:00,maximum_rolling_60min_mean_flow
L405S-114,2025-09-22,6735.500000,6600.300000,1.020484,2025-09-22T06:10:00-07:00,2025-09-22T07:10:00-07:00,maximum_rolling_60min_mean_flow
L405S-114,2025-09-23,6036.500000,6600.300000,0.914580,2025-09-23T06:10:00-07:00,2025-09-23T07:10:00-07:00,maximum_rolling_60min_mean_flow
L405S-114,2025-09-24,5879.000000,6600.300000,0.890717,2025-09-24T06:15:00-07:00,2025-09-24T07:15:00-07:00,maximum_rolling_60min_mean_flow
L405S-114,2025-09-25,4982.000000,6600.300000,0.754814,2025-09-25T06:00:00-07:00,2025-09-25T07:00:00-07:00,maximum_rolling_60min_mean_flow
L405S-115,2025-09-05,7079.000000,7668.600000,0.923115,2025-09-05T06:20:00-07:00,2025-09-05T07:20:00-07:00,maximum_rolling_60min_mean_flow
L405S-115,2025-09-08,6411.000000,7668.600000,0.836007,2025-09-08T06:20:00-07:00,2025-09-08T07:20:00-07:00,maximum_rolling_60min_mean_flow
L405S-115,2025-09-09,6464.000000,7668.600000,0.842918,2025-09-09T06:15:00-07:00,2025-09-09T07:15:00-07:00,maximum_rolling_60min_mean_flow
L405S-115,2025-09-10,7111.000000,7668.600000,0.927288,2025-09-10T06:15:00-07:00,2025-09-10T07:15:00-07:00,maximum_rolling_60min_mean_flow
L405S-115,2025-09-11,6966.000000,7668.600000,0.908380,2025-09-11T06:10:00-07:00,2025-09-11T07:10:00-07:00,maximum_rolling_60min_mean_flow
L405S-115,2025-09-12,6982.000000,7668.600000,0.910466,2025-09-12T06:30:00-07:00,2025-09-12T07:30:00-07:00,maximum_rolling_60min_mean_flow
L405S-115,2025-09-15,7106.000000,7668.600000,0.926636,2025-09-15T06:20:00-07:00,2025-09-15T07:20:00-07:00,maximum_rolling_60min_mean_flow
L405S-115,2025-09-16,7016.000000,7668.600000,0.914900,2025-09-16T06:15:00-07:00,2025-09-16T07:15:00-07:00,maximum_rolling_60min_mean_flow
L405S-115,2025-09-17,6602.000000,7668.600000,0.860913,2025-09-17T06:10:00-07:00,2025-09-17T07:10:00-07:00,maximum_rolling_60min_mean_flow
L405S-115,2025-09-18,7018.000000,7668.600000,0.915161,2025-09-18T06:15:00-07:00,2025-09-18T07:15:00-07:00,maximum_rolling_60min_mean_flow
