link_id,date_local,episode_at_0.90,episode_at_0.95,episode_at_1.00,episode_at_1.05,episode_at_1.10,common_support
L405S-114,2025-09-05,True,True,True,True,True,True
L405S-114,2025-09-08,True,True,True,True,True,True
L405S-114,2025-09-09,True,True,True,True,True,True
L405S-114,2025-09-10,True,True,True,True,True,True
L405S-114,2025-09-11,True,True,True,True,True,True
L405S-114,2025-09-12,True,True,True,True,True,True
L405S-114,2025-09-15,True,True,True,True,True,True
L405S-114,2025-09-16,True,True,True,True,True,True
L405S-114,2025-09-17,True,True,True,True,True,True
L405S-114,2025-09-18,True,True,True,True,True,True
L405S-114,2025-09-19,True,True,True,True,True,True
L405S-114,2025-09-22,True,True,True,True,True,True
L405S-114,2025-09-23,True,True,True,True,True,True
L405S-114,2025-09-24,True,True,True,True,True,True
L405S-114,2025-09-25,True,True,True,True,True,True
L405S-115,2025-09-05,True,True,True,True,True,True
L405S-115,2025-09-08,True,True,True,True,True,True
L405S-115,2025-09-09,True,True,True,True,True,True
L405S-115,2025-09-10,True,True,True,True,True,True
L405S-115,2025-09-11,True,True,True,True,True,True
L405S-115,2025-09-12,True,True,True,True,True,True
L405S-115,2025-09-15,True,True,True,True,True,True
L405S-115,2025-09-16,True,True,True,True,True,True
L405S-115,2025-09-17,True,True,True,True,True,True
L405S-115,2025-09-18,True,True,True,True,True,True
L405S-115,2025-09-19,True,True,True,True,True,True
L405S-115,2025-09-22,True,True,True,True,True,True
L405S-115,2025-09-23,True,True,True,True,True,True
L405S-115,2025-09-24,True,True,True,True,True,True
L405S-115,2025-09-25,True,True,True,True,True,True
L405S-132,2025-09-05,True,True,True,True,True,True
L405S-132,2025-09-08,True,True,True,True,True,True
L405S-132,2025-09-09,True,True,True,True,True,True
L405S-132,2025-09-10,True,True,True,True,True,True
L405S-132,2025-09-11,True,True,True,True,True,True
L405S-132,2025-09-12,True,True,True,True,True,True
L405S-132,2025-09-15,True,True,True,True,True,True
L405S-132,2025-09-16,True,True,True,True,True,True
L405S-132,2025-09-17,True,True,True,True,True,True
L405S-132,2025-09-18,True,True,True,True,True,True
L405S-132,2025-09-19,True,True,True,True,True,True
L405S-132,2025-09-22,True,True,True,True,True,True
L405S-132,2025-09-23,True,True,True,True,True,True
L405S-132,2025-09-24,True,True,True,True,True,True
L405S-132,2025-09-25,True,True,True,True,True,True
