link_id,date_local,threshold_multiplier,vc_mph,threshold_speed_mph,demand_capacity_ratio,capacity_vph_link,episode_identified,duration_bins,duration_h,congested_passed_volume_veh,capacity_equivalent_hours,episode_start_local,episode_end_local,minimum_speed_mph,minimum_speed_time_local,touches_data_start,touches_data_end
L405S-114,2025-09-05,0.900000,45.468734,40.921861,0.953593,6600.300000,True,12,1.000000,5785.000000,0.876475,2025-09-05T06:55:00-07:00,2025-09-05T07:55:00-07:00,35.700000,2025-09-05T07:10:00-07:00,False,False
L405S-114,2025-09-08,0.900000,45.468734,40.921861,0.926928,6600.300000,True,30,2.500000,11444.500000,1.733936,2025-09-08T06:50:00-07:00,2025-09-08T09:20:00-07:00,24.550000,2025-09-08T08:45:00-07:00,False,False
L405S-114,2025-09-09,0.900000,45.468734,40.921861,0.859128,6600.300000,True,39,3.250000,14481.000000,2.193991,2025-09-09T06:40:00-07:00,2025-09-09T09:55:00-07:00,19.650000,2025-09-09T08:50:00-07:00,False,False
L405S-114,2025-09-10,0.900000,45.468734,40.921861,0.937836,6600.300000,True,39,3.250000,14343.000000,2.173083,2025-09-10T06:45:00-07:00,2025-09-10T10:00:00-07:00,19.800000,2025-09-10T08:35:00-07:00,False,False
L405S-114,2025-09-11,0.900000,45.468734,40.921861,0.903898,6600.300000,True,38,3.166667,14421.000000,2.184901,2025-09-11T06:50:00-07:00,2025-09-11T10:00:00-07:00,24.100000,2025-09-11T08:05:00-07:00,False,False
L405S-114,2025-09-12,0.900000,45.468734,40.921861,0.930109,6600.300000,True,12,1.000000,5835.000000,0.884051,2025-09-12T06:50:00-07:00,2025-09-12T07:50:00-07:00,33.350000,2025-09-12T07:35:00-07:00,False,False
L405S-114,2025-09-15,0.900000,45.468734,40.921861,0.977834,6600.300000,True,24,2.000000,11007.000000,1.667651,2025-09-15T06:45:00-07:00,2025-09-15T08:45:00-07:00,28.000000,2025-09-15T07:35:00-07:00,False,False
L405S-114,2025-09-16,0.900000,45.468734,40.921861,0.931170,6600.300000,True,39,3.250000,13718.000000,2.078390,2025-09-16T06:45:00-07:00,2025-09-16T10:00:00-07:00,20.600000,2025-09-16T09:00:00-07:00,False,False
L405S-114,2025-09-17,0.900000,45.468734,40.921861,0.825872,6600.300000,True,38,3.166667,13559.000000,2.054301,2025-09-17T06:45:00-07:00,2025-09-17T09:55:00-07:00,20.900000,2025-09-17T07:40:00-07:00,False,False
L405S-114,2025-09-18,0.900000,45.468734,40.921861,0.950033,6600.300000,True,35,2.916667,13246.000000,2.006878,2025-09-18T06:45:00-07:00,2025-09-18T09:40:00-07:00,21.950000,2025-09-18T08:05:00-07:00,False,False
L405S-114,2025-09-19,0.900000,45.468734,40.921861,0.929579,6600.300000,True,16,1.333333,6886.500000,1.043362,2025-09-19T07:00:00-07:00,2025-09-19T08:20:00-07:00,26.800000,2025-09-19T07:55:00-07:00,False,False
L405S-114,2025-09-22,0.900000,45.468734,40.921861,1.020484,6600.300000,True,21,1.750000,9130.500000,1.383346,2025-09-22T06:50:00-07:00,2025-09-22T08:35:00-07:00,21.500000,2025-09-22T07:55:00-07:00,False,False
L405S-114,2025-09-23,0.900000,45.468734,40.921861,0.914580,6600.300000,True,38,3.166667,13284.000000,2.012636,2025-09-23T06:40:00-07:00,2025-09-23T09:50:00-07:00,21.600000,2025-09-23T08:05:00-07:00,False,False
L405S-114,2025-09-24,0.900000,45.468734,40.921861,0.890717,6600.300000,True,38,3.166667,13436.500000,2.035741,2025-09-24T06:45:00-07:00,2025-09-24T09:55:00-07:00,21.850000,2025-09-24T07:55:00-07:00,False,False
L405S-114,2025-09-25,0.900000,45.468734,40.921861,0.754814,6600.300000,True,39,3.250000,13667.000000,2.070663,2025-09-25T06:40:00-07:00,2025-09-25T09:55:00-07:00,19.400000,2025-09-25T06:55:00-07:00,False,False
L405S-115,2025-09-05,0.900000,46.743294,42.068965,0.923115,7668.600000,True,13,1.083333,6943.000000,0.905380,2025-09-05T06:50:00-07:00,2025-09-05T07:55:00-07:00,24.300000,2025-09-05T07:40:00-07:00,False,False
L405S-115,2025-09-08,0.900000,46.743294,42.068965,0.836007,7668.600000,True,32,2.666667,12474.000000,1.626633,2025-09-08T06:45:00-07:00,2025-09-08T09:25:00-07:00,21.700000,2025-09-08T08:45:00-07:00,False,False
L405S-115,2025-09-09,0.900000,46.743294,42.068965,0.842918,7668.600000,True,41,3.416667,17509.000000,2.283207,2025-09-09T06:30:00-07:00,2025-09-09T09:55:00-07:00,10.700000,2025-09-09T08:05:00-07:00,False,False
L405S-115,2025-09-10,0.900000,46.743294,42.068965,0.927288,7668.600000,True,41,3.416667,17302.000000,2.256214,2025-09-10T06:40:00-07:00,2025-09-10T10:05:00-07:00,6.200000,2025-09-10T08:35:00-07:00,False,False
L405S-115,2025-09-11,0.900000,46.743294,42.068965,0.908380,7668.600000,True,38,3.166667,15724.000000,2.050439,2025-09-11T06:50:00-07:00,2025-09-11T10:00:00-07:00,11.200000,2025-09-11T08:10:00-07:00,False,False
L405S-115,2025-09-12,0.900000,46.743294,42.068965,0.910466,7668.600000,True,13,1.083333,7062.000000,0.920898,2025-09-12T06:45:00-07:00,2025-09-12T07:50:00-07:00,22.900000,2025-09-12T07:35:00-07:00,False,False
L405S-115,2025-09-15,0.900000,46.743294,42.068965,0.926636,7668.600000,True,24,2.000000,11952.000000,1.558563,2025-09-15T06:45:00-07:00,2025-09-15T08:45:00-07:00,18.400000,2025-09-15T07:40:00-07:00,False,False
L405S-115,2025-09-16,0.900000,46.743294,42.068965,0.914900,7668.600000,True,39,3.250000,15270.000000,1.991237,2025-09-16T06:45:00-07:00,2025-09-16T10:00:00-07:00,8.200000,2025-09-16T08:10:00-07:00,False,False
L405S-115,2025-09-17,0.900000,46.743294,42.068965,0.860913,7668.600000,True,41,3.416667,15705.000000,2.047962,2025-09-17T06:40:00-07:00,2025-09-17T10:05:00-07:00,13.000000,2025-09-17T08:15:00-07:00,False,False
