fit_basis,x_column,scope,link_id,threshold_multiplier,observations,fd,n,r_squared,rmse_h,n_at_boundary,n_ci_low,n_ci_high,fd_ci_low,fd_ci_high,fd_change_vs_1pct,n_change_vs_1pct
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,pooled,ALL,0.900000,45,1.286302,1.248000,0.948776,0.198590,False,1.150475,1.339150,1.207642,1.386421,7.858596,-4.950495
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,pooled,ALL,0.950000,45,1.238475,1.281000,0.932272,0.210692,False,1.172900,1.373000,1.164427,1.342809,3.848192,-2.437167
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,pooled,ALL,1.000000,45,1.192582,1.313000,0.927807,0.214473,False,1.212475,1.411575,1.115256,1.284026,0.000000,0.000000
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,pooled,ALL,1.050000,45,1.164052,1.316000,0.908675,0.235644,False,1.210950,1.432525,1.062509,1.270770,-2.392282,0.228484
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,pooled,ALL,1.100000,45,1.237627,1.209000,0.874136,0.273716,False,1.070475,1.364100,1.105309,1.384841,3.777128,-7.920792
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,link,L405S-114,0.900000,15,1.169558,1.344000,0.975772,0.132354,False,,,,,,
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,link,L405S-114,0.950000,15,1.141016,1.360000,0.976132,0.130634,False,,,,,,
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,link,L405S-114,1.000000,15,1.144926,1.336000,0.971918,0.142126,False,,,,,,
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,link,L405S-114,1.050000,15,1.088311,1.388000,0.966953,0.147982,False,,,,,,
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,link,L405S-114,1.100000,15,1.087860,1.380000,0.958173,0.160346,False,,,,,,
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,link,L405S-115,0.900000,15,1.275602,1.291000,0.938673,0.200914,False,,,,,,
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,link,L405S-115,0.950000,15,1.283220,1.272000,0.934584,0.208668,False,,,,,,
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,link,L405S-115,1.000000,15,1.262953,1.286000,0.928994,0.212815,False,,,,,,
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,link,L405S-115,1.050000,15,1.288126,1.240000,0.921769,0.224512,False,,,,,,
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,link,L405S-115,1.100000,15,1.287583,1.233000,0.920201,0.227239,False,,,,,,
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,link,L405S-132,0.900000,15,1.367072,1.164000,0.940748,0.213238,False,,,,,,
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,link,L405S-132,0.950000,15,1.270513,1.234000,0.888960,0.242056,False,,,,,,
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,link,L405S-132,1.000000,15,1.149991,1.346000,0.897255,0.232553,False,,,,,,
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,link,L405S-132,1.050000,15,1.070733,1.388000,0.875527,0.251513,False,,,,,,
duration_qvdf_capacity_equivalent_hours,capacity_equivalent_hours,link,L405S-132,1.100000,15,1.234837,1.149000,0.818516,0.307801,False,,,,,,
